code,收盘,上市天,流通市值亿,RPS250,RPS120,MA100,MA300,多头排列,站上20周线,量比20/60,距250日新高%,本轮基地数,距区间高点%,满3基,池,名称,细分行业
301336,40.01,1452.0,16.11695102317245,52.29738353541799,62.629757785467135,39.7396,41.7884,False,True,1.0362517066327095,-19.723113964687013,2,-46.524993317294836,False,用户池(2022-08前后上市),趣睡科技,家具
688041,261.0,1452.0,6069.992556032826,92.88449266113594,79.45894935514313,288.52819999999997,228.02309999999997,True,False,0.8251112149462688,-29.516608155549562,8,-29.516608155549562,True,用户池(2022-08前后上市),海光信息,集成电路设计
001339,65.43,1449.0,107.80563170926754,89.5022335673261,97.07455174583203,72.77680000000001,51.93236666666667,True,False,1.122692700885842,-37.87504747436383,6,-37.87504747436383,True,用户池(2022-08前后上市),智微智能,其他IT设备
301338,76.95,1448.0,84.80133427552383,95.8200382897256,62.75558351682919,133.856,78.5642,True,False,0.8745126899808627,-58.20887416499212,5,-58.20887416499212,True,用户池(2022-08前后上市),凯格精机,其他专用设备
688203,9.83,1448.0,19.936760057349954,25.717932354818124,29.223026108839257,11.7101,12.6729,False,False,0.8455967285700806,-41.137724550898206,3,-41.137724550898206,True,用户池(2022-08前后上市),海正生材,改性塑料
301330,23.49,1447.0,45.570860698668575,40.906190172303766,10.695187165775401,29.156,30.216233333333335,False,False,0.8768712819287774,-51.04210087536474,5,-51.04210087536474,True,用户池(2022-08前后上市),熵基科技,安防设备
688401,59.42,1447.0,115.47779607709036,90.93809827696235,89.05316137150047,67.41460000000001,51.8478,True,False,0.88006643226852,-40.27540456327269,6,-40.27540456327269,True,用户池(2022-08前后上市),路维光电,半导体材料
001222,14.31,1446.0,16.164201926616713,17.070835992342055,11.513054419628814,16.7329,20.4292,False,False,1.5819686537630595,-50.346981263011806,3,-50.346981263011806,True,用户池(2022-08前后上市),源飞宠物,娱乐用品
001330,4.99,1446.0,57.77891520468235,65.53924696873005,2.0761245674740483,7.0516,6.800533333333334,True,False,0.7743039464146337,-62.76119402985074,3,-62.76119402985074,True,用户池(2022-08前后上市),博纳影业,发行院线
301321,29.2,1446.0,43.876350843184674,92.5654116145501,94.4636678200692,30.156,21.7031,True,False,1.0966103531113125,-44.62355395410582,3,-44.62355395410582,True,用户池(2022-08前后上市),翰博高新,面板
603255,25.27,1446.0,15.366614756408199,38.098276962348436,42.308902170493866,30.3488,31.3422,False,False,0.9848381650830386,-36.12234580384227,2,-36.12234580384227,False,用户池(2022-08前后上市),鼎际得,塑料助剂
688292,16.41,1446.0,26.018615027810057,27.568602425015953,3.0827304183705566,21.6774,22.986433333333334,False,False,0.7494193760027141,-55.80393213035282,2,-55.80393213035282,False,用户池(2022-08前后上市),浩瀚深度,其他通信设备
688403,18.05,1446.0,184.7669371656833,92.1825143586471,69.86473733878577,22.2002,16.969833333333334,True,False,0.8760427654329777,-56.295399515738495,5,-56.295399515738495,True,用户池(2022-08前后上市),汇成股份,半导体封测
001231,19.14,1445.0,9.757253028977399,52.04211869814933,41.648317080843036,21.8794,21.936566666666668,False,False,0.9660447548017369,-36.55949618826649,4,-36.55949618826649,True,用户池(2022-08前后上市),农心科技,农药
301171,32.34,1445.0,162.97329959530632,88.32163369495852,5.88235294117647,35.641799999999996,30.715733333333336,True,False,0.701503310091294,-48.280825203902126,3,-48.280825203902126,True,用户池(2022-08前后上市),易点天下,互联网广告
301300,29.4,1445.0,11.615329489236636,18.921506062539887,13.368983957219251,37.4327,39.577866666666665,False,False,0.9342026840400665,-42.023269572076515,5,-42.023269572076515,True,用户池(2022-08前后上市),远翔新材,其他化学原料
688271,116.45,1442.0,957.0303813812463,42.88449266113593,69.67599874174269,112.5457,127.2761,False,True,0.8603198270885308,-26.25079164027866,3,-26.25079164027866,True,用户池(2022-08前后上市),联影医疗,医疗设备
688381,25.56,1441.0,64.19337372083652,70.89980855137205,82.44731047499214,34.264599999999994,27.457399999999996,True,False,0.724973269452214,-52.22429906542057,5,-52.22429906542057,True,用户池(2022-08前后上市),帝奥微,集成电路设计
301209,40.8,1439.0,54.900698181427806,3.318442884492661,4.749921358917899,59.303200000000004,66.06186666666667,False,False,1.1133046821819168,-55.59908586353248,2,-55.59908586353248,False,用户池(2022-08前后上市),联合化学,涂料油墨
688247,7.92,1439.0,35.981573645646996,11.96553924696873,43.158225857187794,8.889299999999999,10.068266666666666,False,False,1.453787710262112,-38.88888888888889,2,-38.88888888888889,False,用户池(2022-08前后上市),宣泰医药,化学制剂
688370,21.4,1439.0,29.218210537934127,63.97574984045947,30.386914123938347,23.105099999999997,23.987233333333332,False,False,0.7125094869059555,-29.836065573770497,2,-29.836065573770497,False,用户池(2022-08前后上市),丛麟科技,固废治理
301282,20.84,1438.0,36.82133062734714,75.7498404594767,84.3661528782636,26.917700000000004,21.577133333333336,True,False,0.770970688694351,-38.56132075471699,4,-38.56132075471699,True,用户池(2022-08前后上市),金禄电子,PCB
688439,39.96,1438.0,79.68613507512974,17.230376515634973,14.658697703680405,48.001999999999995,54.76606666666667,False,False,0.8036325815643182,-43.1336274370286,1,-44.39187308655719,False,用户池(2022-08前后上市),振华风光,军工电子
301152,19.37,1435.0,13.722828848020535,9.317166560306319,12.928593897452028,26.864099999999997,28.7204,False,False,1.0281221292773497,-54.742990654205606,1,-57.53124314843237,False,用户池(2022-08前后上市),天力锂能,电池化学品
688416,59.56,1435.0,65.22591348363315,94.0970006381621,21.610569361434415,85.12219999999999,56.67850000000001,True,False,1.1449514259686033,-57.45714285714285,4,-57.45714285714285,True,用户池(2022-08前后上市),恒烁股份,集成电路设计
001259,43.5,1433.0,20.706395533975286,90.23611997447351,94.80968858131487,50.2342,35.46066666666667,True,False,0.5456208469898893,-50.48941497837469,6,-50.48941497837469,True,用户池(2022-08前后上市),利仁科技,厨房小家电
301115,22.77,1433.0,34.72843848291137,83.82259093809827,93.07958477508652,25.8002,19.4797,True,False,0.8543369051074208,-35.44088460447974,4,-35.44088460447974,True,用户池(2022-08前后上市),联检科技,检测服务
301270,29.38,1433.0,27.787517307473454,7.466496490108487,36.929852154765655,30.8338,37.20406666666666,False,False,1.3252649410152013,-39.48506694129763,5,-39.48506694129763,True,用户池(2022-08前后上市),汉仪股份,行业应用软件
603237,14.45,1433.0,27.369521296880837,42.437779195915766,63.101604278074866,15.1696,16.3538,False,False,0.7097371495191407,-22.10242587601079,2,-31.157694140066695,False,用户池(2022-08前后上市),五芳斋,其他食品
688351,19.9,1433.0,94.19940639789168,54.69049138481174,55.52060396351054,23.1162,22.735766666666667,True,False,0.7267918796380659,-27.636363636363637,0,-28.52011494252874,False,用户池(2022-08前后上市),微电生理,医疗耗材
301283,25.38,1431.0,23.17346657918152,64.19910657306957,31.928279333123623,28.6006,28.527766666666665,True,False,0.9057332243552801,-39.49940405244339,4,-39.49940405244339,True,用户池(2022-08前后上市),聚胶股份,胶黏剂及胶带
301296,6.35,1431.0,27.128367458829974,8.934269304403317,24.850581944007548,7.0947000000000005,8.440766666666667,False,False,1.140217469643927,-36.75298804780876,1,-45.54030874785592,False,用户池(2022-08前后上市),新巨丰,纸包装
688293,48.79,1431.0,55.75829416451685,53.60561582641991,78.0119534444794,46.3178,49.88463333333334,False,True,1.628490867590918,-25.918615244457943,3,-25.918615244457943,True,用户池(2022-08前后上市),奥浦迈,医疗研发外包
001283,42.22,1428.0,43.836427379818495,18.953414167198467,49.48096885813148,51.3071,52.06973333333333,False,False,0.7011377210949723,-37.60898477907493,4,-37.60898477907493,True,用户池(2022-08前后上市),豪鹏科技,锂电池
001331,42.81,1425.0,124.92522340249077,99.87236758136567,90.94054734193142,43.1055,24.540866666666666,True,False,0.914272043134913,-35.30300740516851,6,-35.30300740516851,True,用户池(2022-08前后上市),胜通能源,燃气
301231,25.82,1425.0,17.04794308163943,64.45437141033823,11.481597986788298,29.8541,29.5889,True,False,0.6975261184489709,-49.062931544683366,7,-49.062931544683366,True,用户池(2022-08前后上市),荣信文化,大众出版
301328,42.67,1425.0,49.953846456299765,86.02425015954053,91.56967599874174,50.6461,37.80396666666667,True,False,0.9486713925284131,-48.15939740007289,6,-48.15939740007289,True,用户池(2022-08前后上市),维峰电子,其他电子
301276,19.43,1424.0,14.034922604636362,49.17038927887683,25.416797735136836,23.7203,22.9211,True,False,0.9431026259629692,-37.72435897435897,3,-37.72435897435897,True,用户池(2022-08前后上市),嘉曼服饰,非运动服装
301339,11.37,1424.0,64.74644654231503,10.529674537332482,45.23435042466185,12.009400000000001,14.368366666666667,False,False,1.2009607241915556,-36.0517435320585,3,-36.4804469273743,True,用户池(2022-08前后上市),通行宝,其他IT设备
301349,36.81,1424.0,42.170984254292996,84.7160178685386,86.31645171437559,48.517999999999994,36.339933333333335,True,False,0.7301080511892702,-51.3095238095238,4,-51.3095238095238,True,用户池(2022-08前后上市),信德新材,电池化学品
603182,12.11,1424.0,19.927598100004463,44.76707083599234,38.75432525951557,13.4888,14.082600000000003,False,False,0.8343902148491116,-29.01524032825322,4,-29.01524032825322,True,用户池(2022-08前后上市),嘉华股份,其他农产品加工
688114,49.77,1424.0,207.92186596865295,22.84620293554563,41.050644856873234,51.011100000000006,61.62226666666667,False,False,0.9208689093379004,-36.82406702208682,1,-49.14163090128755,False,用户池(2022-08前后上市),华大智造,医疗设备
301205,253.9,1420.0,213.39972097974209,97.319719208679,90.37433155080214,266.8623,170.52156666666667,True,False,0.880063004778698,-29.628603104212857,4,-29.628603104212857,True,用户池(2022-08前后上市),联特科技,网络接配及塔设
688391,24.38,1420.0,28.29620615196585,33.40778557753669,31.61371500471846,30.593600000000002,30.260333333333335,True,False,0.9141681962257281,-32.277777777777786,1,-41.59080019166268,False,用户池(2022-08前后上市),钜泉科技,集成电路设计
301161,24.51,1419.0,19.076608382184627,12.890874282067646,16.766278703994967,31.8621,32.18653333333334,False,False,0.847442521081051,-46.2853385930309,4,-46.2853385930309,True,用户池(2022-08前后上市),唯万密封,工程机械零件
688455,13.94,1418.0,23.48699035602817,56.732610082961074,5.190311418685121,20.797800000000002,18.339199999999998,True,False,0.6392564011370802,-53.2998324958124,3,-53.2998324958124,True,用户池(2022-08前后上市),科捷智能,其他通用设备
001238,25.69,1414.0,37.390155055895875,50.638162093171665,17.678515256369927,30.7164,32.594,False,False,1.1194053165010147,-37.203617697384495,4,-37.203617697384495,True,用户池(2022-08前后上市),浙江正特,家具
301309,29.2,1414.0,17.672476474961808,63.656668793873635,80.30827304183705,32.4608,29.867633333333337,True,False,0.68874839297215,-27.018245438640342,3,-27.018245438640342,True,用户池(2022-08前后上市),万得凯,金属制品
301327,45.88,1414.0,65.6092571324929,26.037013401403957,45.580371185907524,56.67509999999999,58.0156,False,False,0.6699165347387,-40.33034204708024,2,-40.33034204708024,False,用户池(2022-08前后上市),华宝新能,锂电池
688035,52.54,1414.0,76.16197760071604,80.98276962348436,76.94243472790185,74.2826,57.20263333333334,True,False,0.8049090936538185,-49.167956656346746,6,-49.167956656346746,True,用户池(2022-08前后上市),德邦科技,电子化学品
001332,30.84,1413.0,20.638067203507763,73.48436502871729,45.10852469329978,40.123200000000004,36.292899999999996,True,False,0.7272006309024003,-41.75637393767706,4,-41.75637393767706,True,用户池(2022-08前后上市),锡装股份,能源及重型设备
301326,75.87,1412.0,55.149958842857714,64.61391193363114,9.216734822271153,140.8776,114.79766666666666,True,False,1.035161983737216,-60.79880128138886,3,-60.79880128138886,True,用户池(2022-08前后上市),捷邦科技,消费电子组件
301331,20.57,1412.0,21.371686265856408,4.722399489470326,34.22459893048128,24.152800000000003,28.015600000000003,False,False,1.0329680716644596,-45.37971322357939,2,-45.37971322357939,False,用户池(2022-08前后上市),恩威医药,中药
688428,24.86,1412.0,68.30059668073471,27.440970006381622,91.16074237181505,26.313200000000002,25.481833333333334,True,False,1.1180263368319765,-25.813190092509696,3,-25.813190092509696,True,用户池(2022-08前后上市),诺诚健华,其他生物制药
688448,45.93,1412.0,44.58869937102768,93.93746011486918,75.71563384712174,49.8031,38.18963333333333,True,False,1.3672712495386954,-30.97385031559965,4,-30.97385031559965,True,用户池(2022-08前后上市),磁谷科技,其他专用设备
301369,109.41,1411.0,62.22239837511956,97.60689215060626,94.30638565586662,152.8,91.01676666666667,True,False,1.1597825821353551,-55.34285714285714,4,-55.34285714285714,True,用户池(2022-08前后上市),联动科技,半导体设备
688132,13.2,1410.0,20.08163418862555,11.135928525845564,20.981440704624095,15.438899999999999,18.0133,False,False,0.788402089994837,-40.486925157799824,3,-42.43349324029656,True,用户池(2022-08前后上市),邦彦技术,军工电子
301227,17.88,1407.0,13.22611103987143,43.58647096362476,26.675055048757475,24.1136,25.001666666666665,False,False,1.0861424459472515,-53.449622494142154,2,-53.449622494142154,False,用户池(2022-08前后上市),森鹰窗业,家具
301366,43.75,1407.0,52.2923620160025,75.43075941289088,92.8908461780434,42.096000000000004,38.915,True,True,0.7425232552163459,-30.26777175645522,3,-30.26777175645522,True,用户池(2022-08前后上市),一博科技,PCB
603057,22.76,1407.0,93.55418237764745,70.64454371410338,53.161371500471844,24.8336,22.966833333333334,True,False,0.8721571291414941,-33.43082772740566,5,-33.43082772740566,True,用户池(2022-08前后上市),紫燕食品,熟食
688387,12.29,1407.0,252.63804068507827,94.67134652201659,16.955017301038062,16.6849,11.314566666666666,True,False,0.95308431689409,-45.25612472160356,4,-45.25612472160356,True,用户池(2022-08前后上市),信科移动-U,系统设备
688252,17.17,1406.0,70.42671710037764,16.049776643267393,27.618748033972945,21.3502,23.1596,False,False,0.8844455690643876,-43.51973684210525,4,-43.51973684210525,True,用户池(2022-08前后上市),天德钰,集成电路设计
688392,116.23,1406.0,138.47117854230797,89.82131461391192,62.25228059138094,151.2731,114.15533333333333,True,False,1.035559927315171,-51.9313482216708,4,-51.9313482216708,True,用户池(2022-08前后上市),骄成超声,其他专用设备
301176,38.14,1405.0,63.64405682319106,74.95213784301212,97.8295061340044,42.3245,31.974000000000004,True,False,1.0503675364008773,-53.20245398773006,2,-53.20245398773006,False,用户池(2022-08前后上市),逸豪新材,PCB
301285,62.66,1405.0,82.07480222393525,91.73580089342693,63.03869141239383,97.9733,66.88693333333335,True,False,0.8444892524825677,-53.68810051736881,5,-53.68810051736881,True,用户池(2022-08前后上市),鸿日达,消费电子组件
301319,81.81,1404.0,114.78380376156163,99.36183790682833,99.55960994023278,87.62629999999999,46.611066666666666,True,False,0.985406757260012,-60.47826086956521,6,-60.47826086956521,True,用户池(2022-08前后上市),唯特偶,电子化学品
688137,35.46,1404.0,24.933681280418757,28.2386726228462,49.889902485058194,41.566500000000005,41.90756666666667,False,False,1.035006448475809,-34.187082405345215,3,-34.187082405345215,True,用户池(2022-08前后上市),近岸蛋白,其他生物制药
688275,74.05,1404.0,95.46449794021405,91.64007657945118,76.91097829506134,120.6001,80.55933333333333,True,False,1.0779488742388323,-54.57055214723927,3,-54.57055214723927,True,用户池(2022-08前后上市),万润新能,电池化学品
001255,24.0,1403.0,18.583563069900386,14.518187619655393,7.769738911607424,31.569499999999998,33.2654,False,False,0.9015309476737927,-56.4665336477417,2,-56.4665336477417,False,用户池(2022-08前后上市),博菲电气,线缆部件及其他
001269,19.64,1403.0,38.00396909931547,14.039566049776644,58.57187794904058,22.552400000000002,24.706066666666665,False,False,0.551167937183123,-34.772500830288934,0,-49.51156812339331,False,用户池(2022-08前后上市),欧晶科技,光伏辅材
301313,33.06,1403.0,25.945824442412892,81.42948308870453,84.20887071406102,40.1823,31.383433333333336,True,False,0.5413735468402086,-52.43849805783341,5,-52.43849805783341,True,用户池(2022-08前后上市),凡拓数创,其他专业服务
688409,146.84,1393.0,455.26995072206273,97.38353541799617,96.036489462095,155.93140000000002,97.60019999999999,True,False,1.0028668380915258,-52.052244897959184,4,-52.052244897959184,True,用户池(2022-08前后上市),富创精密,半导体设备
603052,46.98,1392.0,89.50103434863877,90.39566049776643,19.81755268952501,76.6196,49.013466666666666,True,False,0.6968910760152163,-59.282371294851785,5,-59.282371294851785,True,用户池(2022-08前后上市),可川科技,消费电子组件
688073,46.35,1392.0,42.0353201086819,28.972559029993615,48.663101604278076,53.0125,58.38003333333333,False,False,1.399541299075405,-40.955414012738856,3,-40.955414012738856,True,用户池(2022-08前后上市),毕得医药,医疗研发外包
301363,15.92,1391.0,83.56860886132552,75.49457562220803,29.757785467128027,18.9144,17.299500000000002,True,False,1.0100240816613075,-47.26730705531633,3,-47.26730705531633,True,用户池(2022-08前后上市),美好医疗,医疗设备
688459,8.19,1391.0,39.266927907429846,36.69432035737078,55.426234664988996,8.6271,9.395133333333334,False,False,0.7864810083578612,-25.205479452054792,1,-27.904929577464788,False,用户池(2022-08前后上市),哈铁科技,轨交设备
301316,36.01,1390.0,140.18881051075198,36.21569878749202,52.595155709342556,43.612899999999996,46.114466666666665,False,False,0.9763614403592902,-44.74451434709222,6,-44.74451434709222,True,用户池(2022-08前后上市),慧博云通,行业应用软件
603163,67.0,1390.0,67.93961266721176,95.50095724313977,7.9270210758100035,106.0449,70.65336666666667,True,False,0.923206126390867,-55.07576773501408,6,-55.07576773501408,True,用户池(2022-08前后上市),圣晖集成,其他专业工程
688031,93.6,1385.0,114.28725624334217,93.04403318442884,0.5662157911292859,130.0124,100.4876,True,False,0.6271950868491294,-63.29411764705883,4,-63.29411764705883,True,用户池(2022-08前后上市),星环科技-U,行业应用软件
688061,33.37,1385.0,38.634876635881405,63.72048500319081,68.22900283107896,38.2638,35.10166666666667,True,False,0.9742826219570084,-34.6455150802977,5,-34.6455150802977,True,用户池(2022-08前后上市),灿瑞科技,集成电路设计
001300,10.29,1384.0,25.07075899210414,27.79195915762604,8.241585404215163,14.999400000000001,14.939366666666665,True,False,0.9385988376633014,-45.81358609794629,4,-45.81358609794629,True,用户池(2022-08前后上市),三柏硕,娱乐用品
301299,43.11,1384.0,19.35281373284415,11.77409061901723,33.815665303554574,55.1975,57.57600000000001,False,False,0.8219549982886111,-37.22149410222805,2,-49.95937318630297,False,用户池(2022-08前后上市),卓创资讯,产联网信息服务
603151,12.43,1384.0,21.245550782879963,0.7019783024888321,11.450141553947782,14.1274,18.642866666666666,False,False,1.643043301283336,-58.949801849405546,1,-58.949801849405546,False,用户池(2022-08前后上市),邦基科技,畜禽饲料
688244,15.17,1384.0,22.934104077534286,5.871091257179324,13.117332494495123,17.3886,21.912333333333333,False,False,1.1045884433441457,-48.04794520547945,2,-63.777459407831905,False,用户池(2022-08前后上市),永信至诚,行业应用软件
301273,35.49,1378.0,27.32057073269797,92.53350350989152,98.0182447310475,28.5059,22.527133333333335,True,True,1.4109904103592674,-11.672473867595812,6,-11.672473867595812,True,用户池(2022-08前后上市),瑞晨环保,其他通用设备
301380,30.2,1378.0,24.84786700253702,37.10912571793236,51.903114186851205,31.5906,34.4912,False,False,1.0964913837463997,-32.94849023090586,4,-32.94849023090586,True,用户池(2022-08前后上市),挖金客,电信增值服务
688426,17.45,1378.0,19.533505084265904,26.67517549457562,14.690154136520919,19.0487,23.0117,False,False,0.870508570097677,-47.848176927674835,4,-47.848176927674835,True,用户池(2022-08前后上市),康为世纪,诊断试剂
001322,6.26,1377.0,49.15225863712551,16.62412252712189,18.24473104749921,6.8694,7.988066666666667,False,False,0.7318829158447326,-33.686440677966104,0,-40.71969696969697,False,用户池(2022-08前后上市),箭牌家居,其他家居
301223,16.59,1377.0,32.01982579612187,59.1576260370134,61.84334696445423,17.673099999999998,17.6226,True,False,0.8423650920003081,-20.962363030014288,5,-20.962363030014288,True,用户池(2022-08前后上市),中荣股份,纸包装
688291,38.05,1377.0,39.083724162275715,74.18634333120613,49.63825102233407,45.72419999999999,39.045566666666666,True,False,0.8641168012115191,-40.34179993728442,6,-40.34179993728442,True,用户池(2022-08前后上市),金橙子,行业应用软件
688372,103.2,1377.0,178.3629468550549,92.11869814932993,47.81377791758415,149.5883,106.83383333333333,True,False,1.1308471593666736,-45.36213468869123,4,-45.36213468869123,True,用户池(2022-08前后上市),伟测科技,半导体封测
688152,27.44,1375.0,27.981360505896273,6.828334396936822,13.306071091538218,32.279700000000005,40.96183333333333,False,False,0.8601786222735514,-54.80151540108713,1,-58.24075483183686,False,用户池(2022-08前后上市),麒麟信安,基础软件
001298,16.64,1372.0,67.80011710760128,34.74792597319719,45.391632588864425,20.569200000000002,20.782266666666665,False,False,0.946306268377724,-39.906103286384976,3,-39.906103286384976,True,用户池(2022-08前后上市),好上好,其他电子
001299,9.84,1372.0,27.83682313010304,71.92086790044672,80.37118590751808,10.823699999999999,9.688966666666666,True,False,0.45067822071689806,-29.055515501081462,5,-29.055515501081462,True,用户池(2022-08前后上市),美能能源,燃气
301389,42.1,1372.0,121.88797112355437,82.32291001914487,59.67285309845863,67.3518,53.821333333333335,True,False,0.6917601743699815,-61.45041662851387,3,-61.45041662851387,True,用户池(2022-08前后上市),隆扬电子,消费电子组件
301230,24.48,1371.0,40.105732421468666,39.47032546266752,16.200062912865683,29.1596,28.218200000000003,True,False,1.4745285979153882,-51.515151515151516,2,-51.515151515151516,False,用户池(2022-08前后上市),泓博医药,医疗研发外包
301367,44.6,1371.0,43.58012971566714,21.633694958519463,39.28908461780434,46.200700000000005,56.05356666666667,False,False,1.8824331622484018,-36.584672259348785,4,-36.584672259348785,True,用户池(2022-08前后上市),瑞迈特,医疗设备
