月,全市场数,次新数,全_H250_G100,新_H250_G100,全_H250_G200,新_H250_G200,全_H250_G500,新_H250_G500,全_H500_G100,新_H500_G100,全_H500_G200,新_H500_G200,全_H500_G500,新_H500_G500,全_H750_G100,新_H750_G100,全_H750_G200,新_H750_G200,全_H750_G500,新_H750_G500
2015-07,2152,465,0.08782527881040893,0.14193548387096774,0.015799256505576207,0.03655913978494624,0.00046468401486988845,0.002150537634408602,0.11152416356877323,0.14408602150537633,0.03438661710037175,0.060215053763440864,0.0023234200743494425,0.004301075268817204,0.21654275092936803,0.24731182795698925,0.10966542750929369,0.13548387096774195,0.03020446096654275,0.06451612903225806
2015-08,2160,470,0.1726851851851852,0.23191489361702128,0.03287037037037037,0.05106382978723404,0.002777777777777778,0.002127659574468085,0.17222222222222222,0.19361702127659575,0.059722222222222225,0.08297872340425531,0.004166666666666667,0.006382978723404255,0.2861111111111111,0.3276595744680851,0.14583333333333334,0.16808510638297872,0.04537037037037037,0.07446808510638298
2015-09,2221,473,0.18685276902296263,0.21987315010570824,0.03782080144079244,0.05496828752642706,0.0031517334533993696,0.004228329809725159,0.16974335884736605,0.17547568710359407,0.059882935614588025,0.06976744186046512,0.00495272399819901,0.006342494714587738,0.3129221071589374,0.32558139534883723,0.16163890139576767,0.16701902748414377,0.04907699234579019,0.06976744186046512
2015-10,2252,481,0.08614564831261101,0.10602910602910603,0.017317939609236235,0.02494802494802495,0.0004440497335701599,0.002079002079002079,0.10479573712255773,0.11850311850311851,0.034191829484902306,0.0395010395010395,0.002220248667850799,0.004158004158004158,0.23046181172291297,0.2494802494802495,0.11989342806394317,0.13721413721413722,0.034191829484902306,0.060291060291060294
2015-11,2332,475,0.06260720411663807,0.056842105263157895,0.014150943396226415,0.018947368421052633,0.0,0.0,0.07590051457975987,0.06736842105263158,0.027015437392795882,0.023157894736842106,0.002144082332761578,0.004210526315789474,0.19811320754716982,0.2,0.10506003430531732,0.11157894736842106,0.030445969125214408,0.042105263157894736
2015-12,2402,471,0.05203996669442131,0.040339702760084924,0.012489592006661115,0.008492569002123142,0.0,0.0,0.07410491257285595,0.059447983014861996,0.026228143213988343,0.02335456475583864,0.0016652789342214821,0.004246284501061571,0.17901748542880933,0.18046709129511676,0.09908409658617819,0.10828025477707007,0.026228143213988343,0.03821656050955414
2016-01,2414,470,0.15907207953603977,0.13404255319148936,0.029826014913007456,0.029787234042553193,0.0016570008285004142,0.00425531914893617,0.16445733222866613,0.17446808510638298,0.060894780447390225,0.06170212765957447,0.007870753935376968,0.014893617021276596,0.3140016570008285,0.33404255319148934,0.1632145816072908,0.1702127659574468,0.04929577464788732,0.06595744680851064
2016-02,2402,457,0.15903413821815154,0.15317286652078774,0.02997502081598668,0.028446389496717725,0.0016652789342214821,0.00437636761487965,0.16777685262281433,0.19693654266958424,0.06244796003330558,0.0700218818380744,0.00791007493755204,0.01312910284463895,0.32722731057452126,0.38074398249452956,0.1652789342214821,0.1925601750547046,0.049125728559533725,0.0787746170678337
2016-03,2398,436,0.08757297748123437,0.06422018348623854,0.01751459549624687,0.01834862385321101,0.0008340283569641367,0.0022935779816513763,0.10925771476230192,0.10779816513761468,0.045454545454545456,0.05045871559633028,0.0045871559633027525,0.0045871559633027525,0.24395329441201,0.23623853211009174,0.12718932443703085,0.1353211009174312,0.03544620517097581,0.0481651376146789
2016-04,2388,453,0.08710217755443886,0.07505518763796909,0.011725293132328308,0.011037527593818985,0.0004187604690117253,0.002207505518763797,0.10845896147403684,0.10816777041942605,0.04396984924623116,0.052980132450331126,0.005025125628140704,0.006622516556291391,0.2483249581239531,0.24724061810154527,0.1273031825795645,0.1456953642384106,0.035175879396984924,0.05077262693156733
