年,未破,持有日,A实收,A峰值,B实收,B峰值,C实收,再创新高
2023,False,30,-0.07892454466608845,0.23330442324371226,-0.16392020815264519,0.23330442324371226,-0.2844752818733738,False
2014,False,98,0.2714285714285716,0.5923076923076924,2.5593406593406596,3.2758241758241757,0.12417582417582418,True
2016,False,7,-0.1588663546541862,0.011700468018720711,-0.5293811752470099,0.011700468018720711,-0.2363494539781591,False
2020,False,17,-0.23682686740011583,-0.035321366531557596,-0.7075854082223509,-0.035321366531557596,-0.4528083381586566,False
2014,False,53,0.1743243243243242,0.39054054054054044,0.010810810810810922,0.9783783783783784,0.6229729729729729,True
2017,False,25,-0.022696929238985253,0.058744993324432615,-0.17623497997329773,0.4018691588785046,0.14953271028037363,True
2020,False,69,0.42492012779552724,0.7667731629392973,0.09424920127795522,1.0862619808306713,0.5367412140575079,True
2023,False,44,0.01602136181575431,0.08945260347129502,0.23230974632843804,0.36315086782376516,0.2016021361815754,True
2014,False,50,0.08849557522123908,0.1836283185840708,1.9004424778761062,3.643805309734513,0.5066371681415929,True
2017,False,17,-0.1873401534526854,0.018542199488490896,-0.49168797953964194,0.018542199488490896,-0.026214833759590772,False
2021,False,24,-0.054200542005420016,0.16531165311653107,0.008130081300813163,0.7615176151761518,-0.0677506775067751,True
2022,False,24,-0.03211009174311941,0.49082568807339433,-0.6857798165137614,0.49082568807339433,0.04357798165137594,False
2014,False,22,-0.09914129586260745,0.011709601873536313,0.49024199843871963,1.180327868852459,0.14207650273224037,True
2022,False,12,-0.09523809523809523,0.08084163898117391,-0.5891472868217054,0.3499446290143966,-0.022148394241417457,True
2014,False,52,-0.09989484752891686,0.0,0.22607781282860162,1.35751840168244,0.045215562565720235,True
2017,False,9,-0.12768817204301075,0.1001344086021505,-0.5981182795698925,0.1001344086021505,-0.22715053763440862,False
2020,False,33,-0.027118644067796627,0.2033898305084747,-0.1819209039548022,0.2033898305084747,-0.215819209039548,False
2021,False,17,-0.07621009268795054,0.05252317198764156,0.1967044284243047,0.34397528321318216,-0.3347064881565397,True
2022,False,25,-0.23285024154589362,0.21062801932367137,-0.18840579710144922,0.26086956521739135,0.05410628019323682,False
2023,False,21,-0.08279220779220775,0.059253246753246724,0.009740259740259605,0.3133116883116882,-0.25243506493506485,True
2014,False,53,0.004264392324093702,0.13006396588486124,1.315565031982942,3.3475479744136454,1.2686567164179103,True
2019,False,15,-0.1173402868318123,0.04823989569752274,-0.6492829204693611,0.04823989569752274,-0.44328552803129084,False
2023,False,49,0.3648648648648649,1.1824324324324325,-0.7432432432432432,1.1824324324324325,-0.7432432432432432,False
2015,False,91,0.625,1.3369565217391304,1.5964673913043477,2.5122282608695654,1.4470108695652173,True
2019,False,37,-0.056858564321250915,0.05756929637526653,0.06538734896943854,0.8898365316275763,-0.02771855010660984,True
