# §61 判定:三条全中年化 +10.37%,但 300 次随机对照 p=0.16,与随机无法区分;本表是状态频率统计,不是买点,不构成投资建议。
月份,t,代码,调整天数,深度,缩量比,收敛比
2015-11,703,600009,40,0.18265139116202955,0.4850904796259647,0.4972182340272796
2015-11,703,600170,39,0.23250564334085777,0.6695234388271616,0.3759104636702789
2015-11,703,600018,39,0.16549295774647876,0.3685443004127362,0.38718806277334694
2015-11,703,600178,35,0.22770562770562774,0.8227344307082117,0.6082734511555642
2015-11,703,000524,28,0.20923231309583545,0.575530896737898,0.6894089464228131
2015-11,703,600820,30,0.267605633802817,0.5455803899247181,0.4914659808276829
2015-11,703,200418,36,0.19981412639405205,0.8117326471899184,0.5101394169835236
2015-11,703,600824,23,0.189127972819932,0.510402808422302,0.5253382860175111
2015-11,703,002628,35,0.2091836734693877,0.7341938361359999,0.7118183191500074
2015-11,703,000717,28,0.35053380782918153,0.7315386173382383,0.4917472965281731
2015-12,726,000539,111,0.4685777287761852,0.6045165749161605,0.26383667502088565
2015-12,726,600836,30,0.2477678571428572,0.36136023789059024,0.5174906042208731
2015-12,726,600692,36,0.2394840157038698,0.43562898339197603,0.49846737702525157
2015-12,726,600838,35,0.2317441158720579,0.2774675156699379,0.3959208158368326
2015-12,726,300015,95,0.36734693877551017,0.5648881677639067,0.3465330266184686
2015-12,726,002236,65,0.2398255813953487,0.6855092249799885,0.47614243073947965
2015-12,726,000930,53,0.29763246899661766,0.6658433973648348,0.5266641922683983
2015-12,726,000733,52,0.31386586284853046,0.6547337984088468,0.56851229673431
2015-12,726,600376,88,0.4339268978444236,0.38398908956930566,0.3177284846091009
2015-12,726,600703,95,0.3563084112149534,0.3732967283436881,0.3559953186509205
2015-12,726,600708,34,0.27884615384615385,0.3129438485313655,0.450963597430407
2015-12,726,002108,25,0.1912928759894459,0.49373486243792397,0.5187659658086072
2015-12,726,000029,36,0.19717362045760434,0.5763673306653393,0.3748842949706879
2015-12,726,600567,92,0.404040404040404,0.3068333487401116,0.23210831721470046
2015-12,726,002116,69,0.2625085675119945,0.4495819244681512,0.2789445341949379
2015-12,726,600868,36,0.2697841726618705,0.3599584394169636,0.38544152744630056
2015-12,726,603979,65,0.3477251624883936,0.5350776661473514,0.41163993338592336
2015-12,726,000777,40,0.26761332605133803,0.5186785654488393,0.49167019624452935
2015-12,726,600081,38,0.3337918386061439,0.5211805848194756,0.4842298761609905
2015-12,726,601118,57,0.1899641577060931,0.7187103732961126,0.38805766767503325
2015-12,726,603088,24,0.20158550396375996,0.5447280760038994,0.3953279424977534
2015-12,726,600418,42,0.18148148148148147,0.6398836932825581,0.411504424778761
2015-12,726,000791,23,0.23421774931381523,0.5939128513280633,0.43916300697494265
2015-12,726,600597,89,0.31644880174291934,0.39767673164704886,0.26855970973339627
