部分,信号,门槛,n_mo,obs,rnd,lift,lo,hi,p
A,USER_SETUP 用户四条件,≥500%,130,0.004445546685818462,0.003143503391281673,1.4142013328657228,1.0051750057083577,2.22914832176823,0.05
B,RPS250>=90,≥100%,58,0.28193409046160056,0.23505964877682048,1.199415092844308,1.1266179762186053,1.29202889892789,0.0
B,RPS250>=90,≥200%,58,0.07081132145406994,0.06842801992139594,1.0348293218978386,0.8955543488029252,1.1857896172522053,0.315
B,RPS250>=90,≥500%,58,0.009695700682009,0.00837419450759968,1.1578069596078806,0.7770587826364359,1.9519978258096788,0.3
B,RPS50>=95,≥100%,48,0.2826596436462205,0.23381325062762548,1.2089119965933346,1.1131018545524405,1.3110815509697773,0.0
B,RPS50>=95,≥200%,48,0.09634320941692193,0.07301498380739127,1.319499154736088,1.097087385401788,1.6490548615991276,0.005
B,RPS50>=95,≥500%,48,0.010997942273409167,0.008223494342970547,1.3373806577504637,0.8037815553398103,3.160815757957653,0.225
B,MA_BULL 已多头排列,≥100%,63,0.27707666154558763,0.25704430846079007,1.0779334629300041,1.0559674056023665,1.0997691166142274,0.0
B,MA_BULL 已多头排列,≥200%,63,0.07887315433897323,0.077220991237961,1.0213952589124502,0.9737450544616997,1.0621023416997617,0.19
B,MA_BULL 已多头排列,≥500%,63,0.006295049972644832,0.007794839766520131,0.8075919661213442,0.7209488014420546,0.9351349393286358,1.0
B,PRE_CROSS 金叉前夜,≥100%,56,0.18897482090326287,0.2260354794499623,0.8360405249791611,0.7939393347599428,0.8792034663323407,1.0
B,PRE_CROSS 金叉前夜,≥200%,56,0.06615809357965093,0.06898597737876028,0.9590078461368583,0.8556508843468825,1.0857537039225362,0.705
B,PRE_CROSS 金叉前夜,≥500%,56,0.010614991877723941,0.008878275051343648,1.195614217439395,0.8563205608178754,1.7761499202127333,0.2
B,VOL_EXP 量比>=1.2,≥100%,65,0.23684624756318776,0.2476823989899447,0.9562498123768703,0.9126850935483426,1.0125261926521765,0.89
B,VOL_EXP 量比>=1.2,≥200%,65,0.07949576468255723,0.07762435521170874,1.0241085348244698,0.9215522334554572,1.1604135121582753,0.325
B,VOL_EXP 量比>=1.2,≥500%,65,0.0078063931840370755,0.008147822170033387,0.9580956752772486,0.706113484593227,1.4643439451391411,0.555
B,NEAR_HIGH 距新高<=10%,≥100%,61,0.2825490801541607,0.25028818480178194,1.1288949990904606,1.0755911894545498,1.187021920097268,0.0
B,NEAR_HIGH 距新高<=10%,≥200%,61,0.07470371374325785,0.07261397972205,1.0287786735998616,0.9358287941208954,1.139151905688231,0.305
B,NEAR_HIGH 距新高<=10%,≥500%,61,0.006681942199746304,0.007388780782888588,0.9043362357184522,0.6483552157253222,1.3077412796704828,0.625
B,NI_ACCEL 净利加速,≥100%,67,0.24676777562377025,0.2512107699540561,0.9823136789433891,0.9454282702221694,1.0173662061681559,0.795
B,NI_ACCEL 净利加速,≥200%,67,0.07121508656886541,0.07550983368033069,0.9431233403367434,0.8673662289472175,1.016263354132726,0.88
B,NI_ACCEL 净利加速,≥500%,67,0.009783868316729425,0.00861824691221338,1.1352504072335383,0.889793616020342,1.6049507799449867,0.22
B,USER_SETUP 用户四条件,≥100%,30,0.27684235209235203,0.21353395683020682,1.2964792869570874,1.1203802727825891,1.4874871172538637,0.005
B,USER_SETUP 用户四条件,≥200%,30,0.10100817700817699,0.06591807900432901,1.532328892678191,1.1990591747377057,2.228116808670579,0.01
B,USER_SETUP 用户四条件,≥500%,30,0.015509259259259257,0.009548769841269842,1.6242154242977083,0.7718894009216589,5.684848484848481,0.14
