部分,口径,门槛,月数,信号,随机,lift,lift下界,lift上界,p,笔数,占比,实收,峰值,兑现率,收益贡献,中位持有,轴色
C,峰值 H=750,≥500%,125.0,0.03923831135036359,0.0318896006664519,1.2304422297655986,1.1734375363461023,1.2880853562544778,0.0,,,,,,,,全部
C,峰值 H=750,≥500%,54.0,0.022612039551098553,0.01613562086401119,1.4013739999018158,1.2337704046786502,1.5983965332618608,0.0,,,,,,,,红轴
C,峰值 H=750,≥500%,71.0,0.05188364483149476,0.04387150079788568,1.1826275346840929,1.1245617782082762,1.2359369502351123,0.0,,,,,,,,绿轴
C,B3 指数月线MACD,≥500%,125.0,0.002626536437563942,0.001580131818680324,1.662226155130236,1.2985497224807985,2.0637630163852183,0.0,,,,,,,,全部
C,B3 指数月线MACD,≥500%,54.0,0.00582558068567768,0.00339630587706245,1.7152697361629778,1.3415271137175035,2.2309002615230042,0.0,,,,,,,,红轴
C,B3 指数月线MACD,≥500%,71.0,0.0001934605305478601,0.0001988163376572985,0.9730615342152099,0.4519010404471612,3.1723135964912283,0.42,,,,,,,,绿轴
C,H0 持有到窗口末,≥500%,125.0,0.008373327405173547,0.006572883875783866,1.2739198749612726,1.1654208046759695,1.3880213491103095,0.0,,,,,,,,全部
C,H0 持有到窗口末,≥500%,54.0,0.0034449776676503696,0.0034923528699504574,0.9864345889249273,0.8000813559910205,1.3110598030563372,0.515,,,,,,,,红轴
C,H0 持有到窗口末,≥500%,71.0,0.012121649740754555,0.008915822950643078,1.359565999443747,1.238042502180303,1.493057770569471,0.0,,,,,,,,绿轴
C,C  基地计数,≥500%,125.0,0.00290224215406814,0.0024051387781783766,1.2066838639000548,1.0299201086975165,1.424409132731208,0.015,,,,,,,,全部
C,C  基地计数,≥500%,54.0,0.0015979579256434322,0.0008760944929066014,1.823956135532731,1.2533118652655888,2.989525612779931,0.005,,,,,,,,红轴
C,C  基地计数,≥500%,71.0,0.0038942329756869315,0.0035680738683850784,1.0914104133862772,0.9165216768201495,1.3038198408547013,0.215,,,,,,,,绿轴
