起,止,幅度,天数,前60日收益,前60日换手,换手历史分位,前60日量比,距250日高,距750日高,过去750日收益,三年区间位置,流通市值亿,大涨
2020-02-04,2020-02-25,0.16722408026755842,15,-0.04371002132196167,0.004853559763849475,0.7637655417406749,0.9111975686816771,-0.14489990467111535,-0.4442379182156133,-0.20124666073018693,0.25000000000000006,307.9024470184089,False
2020-03-23,2020-10-26,0.6355263157894737,143,-0.1757049891540131,0.006343493878807565,0.8456181079512478,1.182495619050112,-0.27550047664442334,-0.5291201982651796,-0.3537414965986395,0.10669456066945601,260.8760978082394,False
2021-02-05,2021-02-19,0.36405005688282155,5,-0.26010101010101017,0.0069712039058967955,0.8638473439917483,1.2620713521375935,-0.3228043143297381,-0.39876880984952123,-0.39876880984952123,0.27487562189054715,279.96636566157065,False
2021-02-26,2021-03-08,0.11279620853080563,6,-0.08499566348655674,0.008503827406964048,0.9194458696767573,1.4728356876364797,-0.18721109399075497,-0.2769019876627826,-0.25177304964539005,0.49563046192259685,336.0233399009751,False
2021-07-30,2021-08-24,0.1283618581907091,17,-0.10990206746463549,0.004643334123666092,0.6932814021421616,0.7888895362050196,-0.3697996918335902,-0.3697996918335902,-0.23622782446311863,0.24999999999999994,251.2868904925312,False
2022-04-28,2022-06-28,0.39272030651340994,39,-0.2945945945945947,0.005666731673940322,0.7711598746081505,1.035152453480847,-0.5004784688995215,-0.5978428351309708,-0.37559808612440193,0.0,160.3566709500016,False
2022-08-04,2022-08-11,0.1431095406360423,5,0.02722323049001818,0.01749510083541958,0.9860809047411918,1.977510578144722,-0.38678223185265437,-0.5639445300462249,-0.3618940248027057,0.0567010309278351,163.59179749443177,False
2022-10-10,2023-07-04,1.3302063789868668,178,-0.17746913580246915,0.007952125519999326,0.8739316239316239,0.8962094449187223,-0.3736780258519389,-0.5893682588597843,-0.431163287086446,0.014175257731958803,154.05375983132885,True
2023-08-29,2023-10-27,0.14995034756703074,37,-0.05711610486891383,0.006339041430791885,0.7658326817826427,0.6932542508732827,-0.18921095008051525,-0.22419106317411408,0.07931404072883175,0.625,269.4156891423475,False
2023-11-09,2024-05-14,1.3837890625,121,-0.06824385805277522,0.006753203548706997,0.7903225806451613,0.7135995256643313,-0.17552334943639292,-0.21109399075500768,-0.0631290027447392,0.6469072164948454,273.963918253986,True
2024-08-07,2024-09-30,0.3007348784624082,36,-0.2752970094223678,0.010746861285304013,0.9141831238779174,1.2636720138410777,-0.2752970094223678,-0.2752970094223678,0.9590254706533778,0.6498176133402814,448.65104603123865,False
