月,红轴,n_0-1年,0-1年_G100,0-1年_G200,0-1年_G500,n_1-2年,1-2年_G100,1-2年_G200,1-2年_G500,n_2-3年,2-3年_G100,2-3年_G200,2-3年_G500,n_3-5年,3-5年_G100,3-5年_G200,3-5年_G500,n_5-10年,5-10年_G100,5-10年_G200,5-10年_G500,n_>10年,>10年_G100,>10年_G200,>10年_G500
2014-01,0,41,0.9512195121951219,0.7804878048780488,0.24390243902439024,128,0.9296875,0.65625,0.1328125,231,0.9004329004329005,0.6103896103896104,0.09090909090909091,424,0.910377358490566,0.5778301886792453,0.10849056603773585,345,0.9246376811594202,0.591304347826087,0.0782608695652174,1102,0.9165154264972777,0.603448275862069,0.07441016333938294
2014-02,0,45,0.8444444444444444,0.5111111111111111,0.13333333333333333,116,0.9568965517241379,0.7155172413793104,0.12931034482758622,209,0.9090909090909091,0.6124401913875598,0.0861244019138756,449,0.9131403118040089,0.5723830734966593,0.08908685968819599,335,0.9134328358208955,0.5880597014925373,0.0626865671641791,1100,0.9072727272727272,0.5572727272727273,0.06
2014-03,0,47,0.9148936170212766,0.7021276595744681,0.1702127659574468,91,0.967032967032967,0.7582417582417582,0.16483516483516483,200,0.95,0.675,0.1,467,0.9421841541755889,0.6145610278372591,0.09850107066381156,322,0.9440993788819876,0.6211180124223602,0.07763975155279502,1086,0.9244935543278084,0.5755064456721916,0.04880294659300184
2014-04,0,47,0.9361702127659575,0.6595744680851063,0.2127659574468085,78,0.9743589743589743,0.7692307692307693,0.20512820512820512,196,0.9642857142857143,0.6887755102040817,0.10714285714285714,485,0.9587628865979382,0.6494845360824743,0.10309278350515463,313,0.9488817891373802,0.6357827476038339,0.07667731629392971,1073,0.9384902143522833,0.581547064305685,0.05498602050326188
2014-05,0,44,0.8409090909090909,0.5454545454545454,0.1590909090909091,59,0.9661016949152542,0.6779661016949152,0.1016949152542373,194,0.9381443298969072,0.6237113402061856,0.061855670103092786,508,0.952755905511811,0.6122047244094488,0.07677165354330709,304,0.9375,0.6151315789473685,0.046052631578947366,1077,0.9303621169916435,0.5496750232126276,0.04549675023212628
2014-06,0,43,0.627906976744186,0.2558139534883721,0.06976744186046512,41,0.8292682926829268,0.4146341463414634,0.024390243902439025,182,0.7857142857142857,0.36813186813186816,0.03296703296703297,540,0.7425925925925926,0.3425925925925926,0.03888888888888889,287,0.7735191637630662,0.3519163763066202,0.020905923344947737,1080,0.7351851851851852,0.29074074074074074,0.01574074074074074
2014-07,1,51,0.6274509803921569,0.29411764705882354,0.0784313725490196,25,0.76,0.2,0.04,179,0.7486033519553073,0.31843575418994413,0.0335195530726257,543,0.6998158379373849,0.281767955801105,0.02578268876611418,273,0.6959706959706959,0.2564102564102564,0.014652014652014652,1117,0.6293643688451208,0.19785138764547897,0.006266786034019696
2014-08,1,64,0.5625,0.234375,0.015625,15,0.8,0.2,0.0,163,0.6932515337423313,0.26380368098159507,0.03067484662576687,537,0.6108007448789572,0.2122905027932961,0.0111731843575419,269,0.587360594795539,0.17843866171003717,0.007434944237918215,1131,0.506631299734748,0.13527851458885942,0.005305039787798408
2014-09,1,72,0.5,0.18055555555555555,0.013888888888888888,6,,,,161,0.5279503105590062,0.18012422360248448,0.006211180124223602,548,0.48905109489051096,0.1386861313868613,0.0072992700729927005,283,0.49469964664310956,0.09187279151943463,0.0035335689045936395,1133,0.3406884377758164,0.08120035304501325,0.00353045013239188
2014-10,1,88,0.4772727272727273,0.13636363636363635,0.011363636363636364,2,,,,154,0.5584415584415584,0.18181818181818182,0.01948051948051948,535,0.4766355140186916,0.11775700934579439,0.005607476635514018,301,0.4750830564784053,0.09966777408637874,0.0033222591362126247,1122,0.3306595365418895,0.07397504456327986,0.0035650623885918
