snap,days,n_user,n_mine,n_mine_dual,overlap,ret_user_dual,ret_mine,ret_mine_dual,mv_q1,mv_q2,mv_q3,pe_q1,pe_q2,pe_q3
2024-03-22,8,236,468,168,0.614406779661017,0.022114351964657854,-0.04206004214372148,-0.018491792926565075,0.029006393798839052,0.001366726983329114,0.032449088510545565,0.05836839037643113,0.026442556464547795,-0.01623142554709295
2024-04-06,5,309,469,197,0.6213592233009708,0.01233464935990125,-0.025654000519841756,-0.0031208154051632405,-0.0014079780012647197,0.024386488717561976,0.016119195801841193,0.025323771201561405,0.018348261251208142,-0.00327198197735523
2024-04-12,5,316,469,201,0.6518987341772152,0.0226812618006148,-0.018513640938057248,0.014487219342261135,0.008331074195802155,0.027161996628540894,0.0322727231843792,0.03591026268276671,0.024378792785066706,0.0082835211770557
2024-04-19,7,251,470,226,0.6653386454183267,0.007623524752548105,0.026394452227716633,0.016226416040113874,0.020133160903412033,0.006557757794416869,-0.003365375492482436,-0.017743094240834437,0.00862434581072149,0.03706456460242064
2024-04-30,5,291,466,239,0.6632302405498282,0.013532380738299673,0.0010489878223392043,0.006404831080304149,0.006697800315850592,0.0262819510551014,0.006983182929980565,0.027733550276477666,0.011310257980613789,0.001602439684084495
2024-05-10,8,321,470,240,0.5825545171339563,-0.012880540331475215,-0.002101347770384485,-0.0061819235227821845,-0.0033996912019999314,-0.015159556932529307,-0.020070177463285883,-0.018671536503021648,-0.017744314784027538,-0.0023121804046966473
2024-05-22,2,343,469,237,0.5918367346938775,-0.014692579816301793,-0.022747690009877874,-0.01534772189459819,-0.024552138102606525,-0.013402389699425815,-0.0062866554236953075,-0.005586650791513666,-0.017979402822364442,-0.01867789542046045
2024-05-24,5,359,468,241,0.6072423398328691,0.00106375604603954,-0.0019160458218314695,0.0005760411609503399,0.009485722617181962,-0.0034705745502000332,-0.0030113706921466163,-0.0006287334624550854,-0.00254086282288759,0.005373787610886592
2024-05-31,5,322,469,240,0.6366459627329193,-0.014631882459245323,-0.037756771518979514,-0.025073663998568592,-0.05672915954813589,0.003806804620516765,0.009339897569729723,0.005445533929924829,-0.024796516461454598,-0.02189275693302457
2024-06-07,4,350,469,235,0.6485714285714286,-0.006101944118509036,0.009911019138852234,0.007809355691560612,0.0003786651676630682,-0.011056990782126314,-0.006819442123968916,-0.018261964570042737,-0.013309682855334456,0.014726050466108654
2024-06-14,5,335,472,245,0.6477611940298508,-0.004641527128948972,-0.013638580983826015,-0.008526762612719934,-0.004780363806782339,-0.008925186649530695,-0.0005840678222963203,,,
2024-06-21,5,319,471,251,0.6551724137931034,-0.006925094398215521,-0.017851923754114325,-0.013859997916240067,-0.018989996993318603,-0.009135185672650646,0.007051063517725187,0.002398446439700324,-0.00491054873282624,-0.01729966502003101
2024-06-28,5,221,471,241,0.7104072398190046,-0.011847969513485383,-0.02067089702768759,-0.018269420923525556,-0.020991876958062115,-0.010210377293978355,-0.004203586647257276,,,
