年,未破,持有日,A实收,A峰值,B实收,B峰值,C实收,再创新高
2019,False,18,-0.15263417035942872,0.015263417035942917,0.9699655342195963,1.2442146725750862,0.23929098966026596,True
2021,False,33,-0.21342726895980102,0.10443431413178605,-0.5037297969332781,0.13489432242022392,-0.2778698715292167,True
2022,False,25,-0.30016432353478184,-0.07230235530399853,-0.6220558700018258,-0.07230235530399853,-0.2744203030856308,False
2014,False,84,0.5146743020758768,1.0794559770937724,0.2806012884753042,1.5411596277738009,0.304939155332856,True
2015,False,22,-0.19886173418145303,0.18848342818881814,-0.4137931034482758,0.18848342818881814,-0.224305323066622,False
2017,False,86,0.03277153558052426,0.17181647940074907,-0.39232209737827717,0.17181647940074907,-0.08239700374531822,False
2019,False,46,-0.3203723986856517,0.049288061336254074,-0.22891566265060248,0.049288061336254074,-0.21467688937568463,False
2023,False,25,-0.18921389396709332,0.014625228519195677,-0.32632541133455206,0.014625228519195677,-0.15265082266910424,False
2016,False,37,-0.15739868049010364,0.04241281809613584,-0.5249764373232799,0.04241281809613584,-0.26484448633364743,False
2019,False,20,-0.27510917030567683,0.12227074235807867,-0.38136826783114997,0.12227074235807867,-0.3580786026200873,False
2020,False,56,-0.12992125984251968,0.007874015748031482,-0.015748031496062964,0.08267716535433078,-0.1692913385826772,False
2021,False,48,-0.05508474576271183,0.05084745762711873,-0.07838983050847459,0.1991525423728815,-0.1716101694915253,True
2022,False,53,-0.1444652908067543,0.06191369606003749,-0.3714821763602252,0.06191369606003749,-0.1238273921200751,False
2014,False,162,0.9818481848184819,3.0,0.9356435643564358,3.0,1.0973597359735976,False
2019,False,42,-0.17894736842105252,0.06184210526315792,-0.16052631578947363,0.5092105263157896,-0.338157894736842,True
2019,False,61,-0.10506798516687266,0.395550061804697,-0.25216316440049447,0.4177997527812114,-0.15698393077873918,True
2020,False,38,-0.30175438596491233,0.006140350877193113,-0.4982456140350877,0.006140350877193113,-0.45000000000000007,False
2022,False,15,-0.14601769911504425,-0.020648967551622488,0.21238938053097356,0.3849557522123894,-0.14896755162241893,True
2023,False,20,-0.24920127795527158,-0.10010649627263057,-0.027689030883919052,0.19808306709265167,-0.3503727369542067,True
2014,False,129,0.6880341880341883,1.2478632478632479,0.6730769230769231,1.433760683760684,1.034188034188034,True
2016,False,38,-0.1207100591715976,-0.011834319526627168,-0.2792899408284023,0.4792899408284026,0.17159763313609488,True
2021,False,21,-0.11092150170648474,-0.011945392491467643,0.3549488054607508,0.47098976109214985,0.0921501706484642,True
2022,False,10,-0.16981132075471705,0.01650943396226401,-0.4221698113207547,0.01650943396226401,-0.25943396226415094,False
2014,False,61,-0.07142857142857129,0.13824884792626735,0.37557603686635943,2.746543778801844,0.2834101382488481,True
2020,False,56,-0.15575620767494347,0.018058690744920947,-0.05191873589164775,0.43115124153498874,-0.018058690744921058,True
2023,False,35,-0.06709956709956721,0.051948051948051965,-0.025974025974025983,0.2683982683982684,0.07359307359307365,True
2020,False,129,0.2107843137254901,0.49183006535947715,-0.13888888888888895,0.49183006535947715,0.3055555555555556,False
2021,False,54,-0.14161849710982655,-0.020231213872832332,-0.06358381502890165,0.0014450867052022698,-0.18641618497109824,False
2023,False,59,-0.018808777429467072,0.0862068965517242,0.03291536050156729,0.21943573667711602,-0.056426332288401326,False
2014,False,45,-0.054808686659772454,0.061013443640124176,0.5129265770423992,4.472595656670114,0.312306101344364,True
