长度,多头占比
115,1.0
500,0.6047904191616766
500,0.17564870259481039
500,0.48303393213572854
466,0.13062098501070663
237,0.49159663865546216
500,0.4530938123752495
109,0.18181818181818182
461,0.29653679653679654
500,0.4870259481037924
392,0.5165394402035624
500,0.5049900199600799
305,0.23202614379084968
500,0.3592814371257485
366,0.6403269754768393
500,0.4810379241516966
289,0.6482758620689655
499,0.654
476,0.710691823899371
500,0.42115768463073855
480,0.5301455301455301
483,0.45454545454545453
495,1.0
483,0.44008264462809915
351,0.6051136363636364
272,0.5860805860805861
500,0.48303393213572854
432,0.19168591224018475
281,0.2907801418439716
500,0.6387225548902196
497,0.3534136546184739
500,0.07784431137724551
128,0.0
499,0.376
499,0.528
479,0.5
500,0.19161676646706588
494,0.6585858585858586
491,0.5670731707317073
111,0.0
40,0.0
500,0.3852295409181637
491,0.4105691056910569
500,0.7085828343313373
467,0.46794871794871795
500,0.31736526946107785
489,0.45510204081632655
473,0.3860759493670886
500,0.4151696606786427
497,0.5040160642570282
366,0.32697547683923706
206,0.12560386473429952
500,0.3912175648702595
175,0.0
500,0.5209580838323353
500,0.7385229540918163
471,0.5805084745762712
500,0.5728542914171657
500,0.5748502994011976
500,0.5548902195608783
484,0.24536082474226803
111,0.7410714285714286
443,0.38513513513513514
500,0.36926147704590817
471,0.2330508474576271
189,0.0
