snap,days,n_user,n_mine,n_mine_dual,overlap,ret_user_dual,ret_mine,ret_mine_dual,mv_q1,mv_q2,mv_q3,pe_q1,pe_q2,pe_q3,rps_q1,rps_q2,rps_q3
2026-04-09,6,88,489,200,0.9545454545454546,0.08835833263874966,0.05731440339605469,0.06608822662626294,0.07335730617237257,0.08061252355067079,0.11081828637512867,0.08401663642774349,0.08449196453491811,0.10216954228494739,0.07255774723436122,0.06538410821237076,0.12628224526854004
2026-04-19,5,117,488,193,0.9401709401709402,0.02116947230698325,0.005021718304136592,0.006054745149087118,0.02337370383685089,0.004318334844412121,0.035755149586079296,0.02534078793689389,0.017484500058040725,0.02004608168414263,0.03043108944581796,0.030845502953037496,0.002754853205664793
2026-04-24,4,133,490,201,0.9022556390977443,0.05240155349924453,0.039278738875860045,0.038203790617850265,0.040577707816364904,0.07287295006262307,0.04424141682263558,0.03779803903585597,0.043311157291953964,0.06944766838761281,,,
2026-05-05,3,143,489,192,0.9020979020979021,0.06057652000921729,0.06901723311909555,0.06722874836648098,0.05625687530138737,0.050320560761299496,0.07525029770832474,0.016255907797656323,0.07583246961458529,0.08510807370237561,0.041110795129513523,0.06194025261649825,0.07912091511981517
2026-05-10,9,137,489,189,0.9197080291970803,0.007474184637223133,-0.01997405115313324,0.003614786201845536,0.013244944897011139,0.00594439581871948,0.003197636711787537,-0.02882296094479991,0.0499517917732742,0.0024365331294085263,0.009263954120340671,0.037592274223703405,-0.02373325374431699
2026-05-21,6,137,487,195,0.927007299270073,0.04304973096148863,0.001943208585640301,0.021744754900613637,0.04475477404730045,0.028318173858334236,0.0560374939996082,0.05332224906186597,0.048625807286026515,0.041257887837090015,0.013194943051751975,0.0632536017672264,0.053379165972527
2026-05-29,4,146,487,201,0.9383561643835616,0.024803286721535703,0.013377662647856038,0.014883852397002018,0.00946309212253725,0.041430024834856256,0.023516743207213604,0.007506316460421776,0.03757412872066419,0.030522445825054124,0.003015200525058987,0.02299057055889989,0.04840408908064825
2026-06-04,5,156,490,199,0.9615384615384616,0.03127607920665663,0.0066339655571724205,0.011959160581961172,-0.0017121185110512587,0.08561367629316347,0.010794790304113174,0.04900778972508402,0.017390132400560858,0.030354411179071648,0.02743225912429417,0.007735814239168821,0.05876131741656908
2026-06-11,5,150,488,197,0.9066666666666666,0.17606842377208848,0.12418140958049621,0.13502969304161783,0.15316112794697614,0.20535561074007655,0.1696885326292127,0.17480700693860163,0.1832554499709074,0.18685423631472098,0.14510902413017948,0.17735196188449842,0.2057442853015875
2026-06-18,3,212,487,202,0.9009433962264151,0.029530901164716083,0.009477674986645326,0.014492726232666918,0.006387143281037791,0.046495123909730915,0.03606385761056733,0.04253758740111887,0.01756492303172084,0.033350943277780695,0.019725509121591482,0.03103061341546758,0.03786782496231316
2026-06-24,7,240,488,206,0.9291666666666667,-0.059842292807965804,-0.046412565053677565,-0.04599128357020116,-0.06532847182125871,-0.04681173058267166,-0.06738667601996705,-0.05215489883888818,-0.037068775331562,-0.07890227537669073,-0.051501318498502965,-0.05529989994246224,-0.07047015974948434
2026-07-03,4,273,489,204,0.8241758241758241,-0.010977947253022828,-0.03614458550154863,-0.0282049672712368,-0.015683828991784894,-0.028216056924092278,0.010966044156808694,-0.03174506091508619,-0.00836169681808953,0.004017793847930576,-0.0006396819434942679,0.008913533300626466,-0.04188382663574578
