段,组,组号,n,持有,事件收益,对照中位,超额pp,年化超额pp,p
留出段22-26,G0 正式突破(三条全过),0,5367,5,0.0003822541467938568,0.003534113162852749,-0.3151859016058892,-17.36153405257861,1.0
留出段22-26,G0 正式突破(三条全过),0,5367,20,0.008737801665010578,0.01441615270271363,-0.5678351037703052,-8.103802862178622,1.0
留出段22-26,G0 正式突破(三条全过),0,5367,60,0.02032824386528962,0.020885983894299232,-0.05577400290096117,-0.2478978816282007,0.6616915422885572
留出段22-26,G0 正式突破(三条全过),0,5367,120,0.06860634084689064,0.06645079867318258,0.21555421737080582,0.4820141185081672,0.23383084577114427
留出段22-26,G0 正式突破(三条全过),0,5367,250,0.13380159181903742,0.12071367969023336,1.3087912128804058,1.3087912128804113,0.024875621890547265
留出段22-26,G1 仅缩量比不过,1,912,5,-0.0009596413225304067,0.0009221251166472567,-0.18817664391776634,-9.403450498188048,0.9054726368159204
留出段22-26,G1 仅缩量比不过,1,912,20,0.0062856539532119005,0.006476530092642464,-0.019087613943056386,-0.25670251478850936,0.5422885572139303
留出段22-26,G1 仅缩量比不过,1,912,60,0.027031999604451944,0.018903604101337956,0.8128395503113988,3.639409948847838,0.01990049751243781
留出段22-26,G1 仅缩量比不过,1,912,120,0.06918187032178126,0.07277414254310459,-0.3592272221323328,-0.8061025331466354,0.7014925373134329
留出段22-26,G1 仅缩量比不过,1,912,250,0.09308325420086268,0.08739994244871754,0.5683311752145135,0.5683311752145093,0.3333333333333333
留出段22-26,G2 仅收敛比不过,2,2280,5,0.004201115878580978,0.0035571998137835983,0.06439160647973798,3.89230819919697,0.24378109452736318
留出段22-26,G2 仅收敛比不过,2,2280,20,0.007160252134782736,0.010231829783763044,-0.30715776489803076,-4.241655661948518,0.9502487562189055
留出段22-26,G2 仅收敛比不过,2,2280,60,0.010358297747167719,0.016010571777858442,-0.5652274030690723,-2.454875342820939,0.9850746268656716
留出段22-26,G2 仅收敛比不过,2,2280,120,0.044650729222848164,0.04717126249207916,-0.2520533269230997,-0.5512777899947308,0.7164179104477612
留出段22-26,G2 仅收敛比不过,2,2280,250,0.14530343985096184,0.10885247977297761,3.645096007798422,3.645096007798432,0.004975124378109453
留出段22-26,G3 仅深度不过,3,1055,5,-0.0065203421247518965,-0.0036563487565906,-0.28639933681612967,-11.161846048413693,0.9800995024875622
留出段22-26,G3 仅深度不过,3,1055,20,0.005705774958953739,0.007763277302811916,-0.20575023438581774,-2.7783154468462357,0.7860696517412935
留出段22-26,G3 仅深度不过,3,1055,60,0.040058495681042305,0.051782081410768954,-1.1723585729726649,-5.631321821080437,0.9950248756218906
留出段22-26,G3 仅深度不过,3,1055,120,0.13440643911822775,0.132139798106142,0.22666410120857627,0.5407592802600059,0.373134328358209
留出段22-26,G3 仅深度不过,3,1055,250,0.30264729306531596,0.2783691398162513,2.4278153249064682,2.427815324906457,0.06467661691542288
留出段22-26,G4 差两条及以上,4,6976,5,-0.002957645413074533,-0.00213031423666436,-0.0827331176410173,-3.6515118343050323,0.9601990049751243
留出段22-26,G4 差两条及以上,4,6976,20,-0.010709988236313596,-0.005990597332171941,-0.47193909041416543,-5.357544218389365,1.0
留出段22-26,G4 差两条及以上,4,6976,60,0.0031320196118427863,0.0007100721508605141,0.24219474609822722,1.015298199439374,0.08955223880597014
留出段22-26,G4 差两条及以上,4,6976,120,0.042537999544521164,0.042994015387396625,-0.0456015842875461,-0.09941253116834137,0.6069651741293532
留出段22-26,G4 差两条及以上,4,6976,250,0.1376407634546586,0.1424480140143994,-0.4807250559740822,-0.4807250559740739,0.8656716417910447
