n,事件收益,对照中位,超额pp,年化超额pp,p,轴,段,组,持有,组序
10902,0.001215124744340017,0.004493086594371962,-0.32779618500319446,-18.865946390446563,1.0,S2 市场广度五分位,训练段13-21,Q1 广度,5,0
10902,0.0036453397748449096,0.012416272941326429,-0.8770933166481519,-12.024581679757862,1.0,S2 市场广度五分位,训练段13-21,Q1 广度,20,0
10902,0.02913501664506285,0.03809121846049712,-0.8956201815434273,-4.143706533964053,1.0,S2 市场广度五分位,训练段13-21,Q1 广度,60,0
10902,0.061004789828373644,0.06611660082155912,-0.5111810993185479,-1.1384817080097864,0.9950248756218906,S2 市场广度五分位,训练段13-21,Q1 广度,120,0
10902,0.15824205899149213,0.15674570625882378,0.1496352732668349,0.1496352732668349,0.34328358208955223,S2 市场广度五分位,训练段13-21,Q1 广度,250,0
10857,0.004642807790549794,0.0038128315866566686,0.08299762038931251,5.103226949422601,0.024875621890547265,S2 市场广度五分位,训练段13-21,Q2 广度,5,1
10857,0.01585642757007555,0.016741299746151583,-0.0884872176076034,-1.3321059516286926,0.8308457711442786,S2 市场广度五分位,训练段13-21,Q2 广度,20,1
10857,0.03190570346470057,0.039913566954119344,-0.8007863489418774,-3.731058870342996,1.0,S2 市场广度五分位,训练段13-21,Q2 广度,60,1
10857,0.059173930806660294,0.06276228781311655,-0.35883570064562526,-0.7970739518733172,0.9601990049751243,S2 市场广度五分位,训练段13-21,Q2 广度,120,1
10857,0.13557846905543605,0.13620804148625193,-0.06295724308158779,-0.06295724308158501,0.5671641791044776,S2 市场广度五分位,训练段13-21,Q2 广度,250,1
10809,0.0011884289256173543,-0.0006849721006169361,0.18734010262342904,9.486505416415024,0.004975124378109453,S2 市场广度五分位,训练段13-21,Q3 广度,5,2
10809,0.013402119958688698,0.01170522360244888,0.16968963562398187,2.44838141782715,0.01990049751243781,S2 市场广度五分位,训练段13-21,Q3 广度,20,2
10809,0.04197642445535292,0.04102376363719594,0.09526608181569807,0.4514901970226637,0.2835820895522388,S2 市场广度五分位,训练段13-21,Q3 广度,60,2
10809,0.07240165632568246,0.07230895656435565,0.00926997613268088,0.02083072133933772,0.4975124378109453,S2 市场广度五分位,训练段13-21,Q3 广度,120,2
10809,0.09515447241546045,0.09282385682982375,0.23306155856367,0.23306155856368527,0.31840796019900497,S2 市场广度五分位,训练段13-21,Q3 广度,250,2
10823,0.006715237884801662,0.005500546114141568,0.12146917706600943,8.18618125129229,0.004975124378109453,S2 市场广度五分位,训练段13-21,Q4 广度,5,3
10823,0.038990412753488336,0.0358878067728417,0.31026059806466344,5.91869917185075,0.004975124378109453,S2 市场广度五分位,训练段13-21,Q4 广度,20,3
10823,0.07127280202058628,0.0662652211342531,0.5007580886333185,2.575638996665175,0.004975124378109453,S2 市场广度五分位,训练段13-21,Q4 广度,60,3
10823,0.1644006107559713,0.15322043459849538,1.1180176157475907,2.7324634441618256,0.004975124378109453,S2 市场广度五分位,训练段13-21,Q4 广度,120,3
10823,0.21739389782691765,0.2123969588212647,0.4996939005652956,0.49969390056530116,0.1044776119402985,S2 市场广度五分位,训练段13-21,Q4 广度,250,3
10639,0.027000478838229248,0.025482007209059836,0.15184716291694114,27.020514377724325,0.004975124378109453,S2 市场广度五分位,训练段13-21,Q5 广度,5,4
10639,0.03955777548821197,0.03431069878774508,0.524707670046689,9.954566099041129,0.004975124378109453,S2 市场广度五分位,训练段13-21,Q5 广度,20,4
10639,0.03470221490435524,0.028378886935153766,0.6323327969201473,2.907004904925503,0.004975124378109453,S2 市场广度五分位,训练段13-21,Q5 广度,60,4
10639,0.02569179137248416,0.018681390385720753,0.7010400986763408,1.495636517841259,0.004975124378109453,S2 市场广度五分位,训练段13-21,Q5 广度,120,4
10639,0.026165866265196184,0.018487128166526513,0.7678738098669671,0.7678738098669813,0.014925373134328358,S2 市场广度五分位,训练段13-21,Q5 广度,250,4
7819,-0.0015297905532511737,0.0026344611805314716,-0.41642517337826446,-21.428640551209675,1.0,S2 市场广度五分位,留出段22-26,Q1 广度,5,0
7819,-0.004814596108891955,0.007050857285465411,-1.1865453394357366,-15.034274862276531,1.0,S2 市场广度五分位,留出段22-26,Q1 广度,20,0
7819,-0.001088950134175202,0.020906473521812925,-2.1995423655988127,-9.45671039837086,1.0,S2 市场广度五分位,留出段22-26,Q1 广度,60,0
7819,0.001354879655718005,0.030525807021245327,-2.9170927365527324,-6.182311771595805,1.0,S2 市场广度五分位,留出段22-26,Q1 广度,120,0
7819,0.060996699328128526,0.10083364608441259,-3.983694675628406,-3.983694675628402,1.0,S2 市场广度五分位,留出段22-26,Q1 广度,250,0
9417,-0.006434651609626058,-0.0052747933213012094,-0.1159858288324849,-4.349864243386592,1.0,S2 市场广度五分位,留出段22-26,Q2 广度,5,1
9417,-0.015109812401471499,-0.009662168188449519,-0.544764421302198,-5.901175221301058,1.0,S2 市场广度五分位,留出段22-26,Q2 广度,20,1
9417,-0.029417116266151684,-0.017841375811326964,-1.1575740454824721,-4.47165617948132,1.0,S2 市场广度五分位,留出段22-26,Q2 广度,60,1
9417,0.005084874691884299,0.016702186372317525,-1.1617311680433224,-2.4488498355796695,1.0,S2 市场广度五分位,留出段22-26,Q2 广度,120,1
9417,0.03751590645566107,0.048744513550975435,-1.1228607095314362,-1.1228607095314258,1.0,S2 市场广度五分位,留出段22-26,Q2 广度,250,1
6510,0.0008918950959500321,0.0012285197929283716,-0.03366246969783395,-1.772843954526393,0.7512437810945274,S2 市场广度五分位,留出段22-26,Q3 广度,5,2
6510,-0.008514883861987944,-0.006696952035388086,-0.1817931826599858,-2.0814349600169257,0.9502487562189055,S2 市场广度五分位,留出段22-26,Q3 广度,20,2
6510,0.01448642895155977,0.015142005252878229,-0.06555763013184596,-0.2861779103830786,0.5870646766169154,S2 市场广度五分位,留出段22-26,Q3 广度,60,2
