窗口,指标,分档方式,牛股定义,分位,命中率,样本,相对基准倍数,logcap中位
oos,营收增速,原始,250日≥+100%,D5,0.14844393737719466,15777,0.9290922927776346,22.39928738276164
oos,营收增速,原始,250日≥+100%,D6,0.14346392798275642,15774,0.8979230282857079,22.433288203345406
oos,营收增速,原始,250日≥+100%,D7,0.15941937119675456,15776,0.9977861791822584,22.37642542521159
oos,营收增速,原始,250日≥+100%,D8,0.1684730937440578,15777,1.05445231178606,22.379345681932236
oos,营收增速,原始,250日≥+100%,D9,0.1823943215666392,15779,1.141583559477884,22.34560532040066
oos,营收增速,原始,250日≥+100%,D10,0.18316109807899575,15773,1.1463827190831912,22.332676145765518
oos,营收增速,市值中性,250日≥+100%,D1,0.16677231237322515,15776,1.0438073309854958,22.30908987257216
oos,营收增速,市值中性,250日≥+100%,D2,0.15473851030110936,15775,0.9684892482428862,22.30587699678209
oos,营收增速,市值中性,250日≥+100%,D3,0.14302915082382764,15780,0.8952018116798046,22.298129823472763
oos,营收增速,市值中性,250日≥+100%,D4,0.14247669773635152,15771,0.8917440759530095,22.323903931511772
oos,营收增速,市值中性,250日≥+100%,D5,0.1480707089906862,15783,0.9267563023459761,22.298350281185574
oos,营收增速,市值中性,250日≥+100%,D6,0.1493597058450615,15774,0.9348239746536139,22.309799406263565
oos,营收增速,市值中性,250日≥+100%,D7,0.1615213946117274,15775,1.01094248444198,22.307115925682915
oos,营收增速,市值中性,250日≥+100%,D8,0.17177991886409735,15776,1.0751493222997694,22.306846565670437
oos,营收增速,市值中性,250日≥+100%,D9,0.1815991376577262,15771,1.1366066014817175,22.303535567389595
oos,营收增速,市值中性,250日≥+100%,D10,0.1826362484157161,15780,1.143097749783428,22.298738320668537
oos,净利增速,原始,250日≥+100%,D1,0.2015997514949134,12877,1.2617879763177582,21.975945472717285
oos,净利增速,原始,250日≥+100%,D2,0.1602205653929792,12876,1.0028007548253108,22.233399815029568
oos,净利增速,原始,250日≥+100%,D3,0.1385415857730838,12877,0.8671146955897074,22.306612756517197
oos,净利增速,原始,250日≥+100%,D4,0.14164789935543992,12877,0.8865567291231089,22.230883333418106
oos,净利增速,原始,250日≥+100%,D5,0.13898594611382872,12879,0.869895892148467,22.34691646364
oos,净利增速,原始,250日≥+100%,D6,0.11166330175493089,12878,0.6988868314843552,22.607343037923176
oos,净利增速,原始,250日≥+100%,D7,0.11595215905560734,12876,0.7257302602783272,22.703009287516277
oos,净利增速,原始,250日≥+100%,D8,0.14109333747476316,12878,0.8830857947198006,22.703362676832413
oos,净利增速,原始,250日≥+100%,D9,0.15345189096839326,12877,0.9604364565500347,22.56231927871704
oos,净利增速,原始,250日≥+100%,D10,0.1565703634669152,12876,0.9799545912398577,22.46359046300252
oos,净利增速,市值中性,250日≥+100%,D1,0.18789808917197454,12874,1.1760309620037472,22.365124490525986
oos,净利增速,市值中性,250日≥+100%,D2,0.15526744817948918,12881,0.9717998051766605,22.392514281802708
oos,净利增速,市值中性,250日≥+100%,D3,0.13799798089617146,12877,0.8637123397213622,22.389626661936443
oos,净利增速,市值中性,250日≥+100%,D4,0.13778916317342027,12882,0.8624053753533225,22.38687260945638
oos,净利增速,市值中性,250日≥+100%,D5,0.12941816204458945,12873,0.8100123118908031,22.38765213224623
oos,净利增速,市值中性,250日≥+100%,D6,0.1195027195027195,12870,0.7479527801382714,22.399350590176052
oos,净利增速,市值中性,250日≥+100%,D7,0.13024916556702631,12883,0.8152134604294957,22.398790571424698
oos,净利增速,市值中性,250日≥+100%,D8,0.14515377446411928,12876,0.9084995689619514,22.399494912889267
oos,净利增速,市值中性,250日≥+100%,D9,0.15993788819875776,12880,1.0010315131362562,22.386031945546467
oos,净利增速,市值中性,250日≥+100%,D10,0.15650485436893205,12875,0.9795445778764403,22.373009575737846
oos,营收增速,原始,120日≥+50%,D1,0.22237717908082408,15775,1.0960530208321841,22.223868370056152
oos,营收增速,原始,120日≥+50%,D2,0.21144704316409965,15777,1.0421805482198845,22.106330341762966
oos,营收增速,原始,120日≥+50%,D3,0.19803486529318542,15775,0.9760745829759817,22.22751235961914
oos,营收增速,原始,120日≥+50%,D4,0.17961718849030295,15778,0.8852975060297308,22.33075417412652
oos,营收增速,原始,120日≥+50%,D5,0.18146669202002916,15777,0.894413342192305,22.39928738276164
oos,营收增速,原始,120日≥+50%,D6,0.18568530493216687,15774,0.9152060487334274,22.433288203345406
oos,营收增速,原始,120日≥+50%,D7,0.20043103448275862,15776,0.987884825778379,22.37642542521159
oos,营收增速,原始,120日≥+50%,D8,0.21347531216327564,15777,1.052177483934224,22.379345681932236
oos,营收增速,原始,120日≥+50%,D9,0.2196590404968629,15779,1.0826558547277059,22.34560532040066
