样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分
平台突破日,2022-01-06,000629,钒钛股份,4.4,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=55.7,,0,未触发,平台突破（研究）,False,中,回踩修复,1.3157894736842106,0.788617886178862,0.6166666666666667,55.7365764111978,92.96128707893413,-0.12175648702594799,0.25777778,0.54735935,0.53915274,0.542409129136143
平台突破日,2022-01-06,300029,天龙退,7.09,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=45.2,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.5896860986547086,0.10781249999999987,0.5916666666666667,45.18127581459385,63.976872800402205,-0.05843293492695889,0.26,0.41581067,0.5576644,
平台突破日,2022-01-06,300255,常山药业,8.27,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=32.5,,0,未触发,平台突破（研究）,True,中,多头趋势,0.5258302583025829,0.2982731554160125,0.6166666666666667,32.514915098669114,71.24183006535948,-0.06553672316384185,0.23269689,0.6102515,0.6590244,0.35186331482389777
平台突破日,2022-01-07,000557,西部创业,4.47,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS60=87.4,,0,未触发,平台突破（研究）,True,中,多头趋势,0.3628048780487805,0.28818443804034577,0.6083333333333333,87.40536820371645,70.53504144687265,-0.0044543429844099425,0.31567797,0.290473,0.44361636,0.494325034029375
平台突破日,2022-01-07,000506,招金黄金,3.55,0,无信号,反弹≥40%；120日收益≥10%；RPS60=55.9,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.7487684729064039,0.5848214285714284,0.475,55.907318192245924,78.17131374026627,-0.20935412026726063,0.19178082,0.25499737,0.44210526,
平台突破日,2022-01-07,600777,新潮能源,2.33,0,无信号,反弹≥40%；120日收益≥10%；RPS60=44.9,,0,未触发,平台突破（研究）,True,中,多头趋势,0.713235294117647,0.47468354430379756,0.5166666666666667,44.918559302592335,81.06003516704345,-0.20748299319727892,0.19008264,0.43693063,0.47540984,0.5496809957947639
平台突破日,2022-01-07,000833,粤桂股份,5.58,0,无信号,反弹≥40%；120日收益≥10%；RPS60=5.2,,0,未触发,平台突破（研究）,False,高,回踩修复,0.7770700636942676,0.5543175487465182,0.5083333333333333,5.207616425785731,84.07435317759358,-0.3111111111111111,0.1445993,0.54973495,0.3886912,0.7458477656871797
平台突破日,2022-01-07,603855,华荣股份,21.21,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=86.7,2022-01-05,3,持续,平台突破（研究）,True,高,多头趋势,0.9971751412429382,0.548175182481752,0.7,86.74007799954117,89.04797789500125,0.0,0.27025783,0.4722533,0.77393705,0.7398425578090598
平台突破日,2022-01-07,300029,天龙退,7.28,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=68.5,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.6322869955156951,0.10975609756097571,0.5916666666666667,68.50194998852947,72.3687515699573,-0.033200531208499307,0.26,0.4204651,0.5658284,
平台突破日,2022-01-07,300191,潜能恒信,27.54,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=48.8,,0,未触发,平台突破（研究）,True,中,多头趋势,0.6461446503287507,0.22020381036774483,0.6166666666666667,48.77265427850425,87.33986435568953,-0.104390243902439,0.20871398,0.74202245,0.75012726,0.5180431388917615
平台突破日,2022-01-07,603619,中曼石油,14.14,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=43.7,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.9449793672627238,0.6403712296983761,0.5666666666666667,43.65680201881165,88.62094951017332,-0.1471652593486127,0.3018868,0.73442125,0.72005415,
平台突破日,2022-01-07,300084,海默科技,6.12,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=16.5,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.8106508875739646,0.2884210526315789,0.5916666666666667,16.5404909382886,79.37704094448631,-0.2183908045977011,0.23444976,0.55444384,0.5252885,
平台突破日,2022-01-10,603856,东宏股份,13.62,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS60=81.6,,0,未触发,平台突破（研究）,False,缺失,突破启动,0.37854251012145723,0.34055118110236204,0.7333333333333333,81.63265306122449,70.44198895027624,-0.04219409282700437,0.32068965,0.5237966,0.5558234,
平台突破日,2022-01-10,002235,安妮股份,5.7,0,无信号,反弹≥40%；120日收益≥10%；RPS60=81.4,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.8037974683544304,0.18257261410788383,0.475,81.38041733547352,64.69110999497741,-0.0531561461794019,0.318555,0.38772362,0.50004864,
平台突破日,2022-01-10,000790,华神科技,6.44,0,无信号,反弹≥40%；MA20持续度≥55%；RPS60=81.0,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.6262626262626263,0.08600337268128166,0.5583333333333333,80.99059848658564,78.85484681064791,-0.10679611650485432,0.28721803,0.51193565,0.5921023,
平台突破日,2022-01-10,000683,博源化工,7.62,0,无信号,反弹≥40%；120日收益≥10%；RPS60=72.5,,0,未触发,平台突破（研究）,False,高,回踩修复,3.5357142857142856,0.5582822085889572,0.5333333333333333,72.48337537262096,99.64841788046208,-0.29574861367837335,0.3113695,0.6839968,0.46413967,0.8539171687231188
平台突破日,2022-01-10,603196,璞源材料,8.2,0,无信号,反弹≥40%；RPS60=68.7,,0,未触发,平台突破（研究）,True,中,多头趋势,0.9069767441860463,0.05670103092783507,0.45,68.67690896583353,84.63083877448518,-0.28942807625649913,0.2977528,0.3338413,0.58010465,0.5577306518817869
平台突破日,2022-01-10,688310,迈得医疗,22.93,0,无信号,反弹≥40%；120日收益≥10%；RPS60=24.6,,0,未触发,平台突破（研究）,True,中,多头趋势,0.9060681629260183,0.5802894555478979,0.5166666666666667,24.581518000458612,87.76996484178805,-0.013763440860215082,0.28242075,0.5323133,0.68263185,0.4211140991988875
平台突破日,2022-01-10,601666,平煤股份,6.86,0,无信号,反弹≥40%；120日收益≥10%；RPS60=2.8,,0,未触发,平台突破（研究）,False,缺失,回踩修复,1.1304347826086958,0.34774066797642456,0.5416666666666666,2.751662462737904,86.8407835258664,-0.2763713080168776,0.212828,0.4726427,0.42514518,
平台突破日,2022-01-10,603112,,12.25,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=77.3,,0,未触发,平台突破（研究）,True,中,多头趋势,0.437793427230047,0.2564102564102564,0.5916666666666667,77.25292364136665,65.49472626820693,-0.18981481481481477,0.2536,0.5522763,0.59277904,0.5632261326042947
平台突破日,2022-01-10,300029,天龙退,7.55,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=73.8,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.6928251121076232,0.2928082191780821,0.5916666666666667,73.83627608346708,76.72024108488196,0.0,0.27450982,0.4246377,0.5728887,
平台突破日,2022-01-11,603998,方盛制药,5.92,0,无信号,反弹≥40%；120日收益≥10%；RPS60=88.6,,0,未触发,平台突破（研究）,False,中,弱势结构,0.4509803921568627,0.21063394683026582,0.475,88.61136571952338,56.83814303638645,-0.02950819672131144,0.30385852,0.6447975,0.6382822,0.4260854671450175
平台突破日,2022-01-11,603856,东宏股份,13.79,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS60=83.1,,0,未触发,平台突破（研究）,False,缺失,突破启动,0.39574898785425083,0.36669970267591667,0.7416666666666667,83.0659945004583,72.1706398996236,-0.030239099859353136,0.33625337,0.5446014,0.56584245,
平台突破日,2022-01-11,300275,梅安森,8.29,0,无信号,反弹≥40%；120日收益≥10%；RPS60=80.9,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.6513944223107568,0.35457516339869266,0.5083333333333333,80.93492208982585,73.85194479297365,-0.09596510359869148,0.23401827,0.5082302,0.7278278,
平台突破日,2022-01-11,603196,璞源材料,8.28,0,无信号,反弹≥40%；RPS60=70.5,,0,未触发,平台突破（研究）,True,中,多头趋势,0.9255813953488372,0.06976744186046502,0.4583333333333333,70.53162236480294,84.96863237139273,-0.28249566724436737,0.2977528,0.3346403,0.5782765,0.5576828200825305
平台突破日,2022-01-11,000506,招金黄金,3.58,0,无信号,反弹≥40%；120日收益≥10%；RPS60=59.3,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.7635467980295569,0.3210332103321034,0.475,59.34922089825848,80.85319949811795,-0.20267260579064594,0.19178082,0.25672755,0.44690675,
平台突破日,2022-01-11,601658,,4.41,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS60=53.6,,0,未触发,平台突破（研究）,True,中,多头趋势,0.2564102564102566,0.17599999999999993,0.6583333333333333,53.620531622364794,64.39146800501882,-0.06369426751592355,0.21555555,0.7153837,0.63050234,0.6513773281944257
