调仓日,排名,代码,名称,复合分,EP,BP,CFP,不复权价,流通市值_亿,是否新进
2021-05-26,20,000656,,0.9714,0.2114,1.0486,0.5514,6.15,324.6,新
2021-06-24,1,600606,,0.9892,0.216,1.384,0.9714,5.46,664.8,
2021-06-24,2,600376,,0.9879,0.2001,1.8034,0.3833,5.65,145.8,
2021-06-24,3,601077,,0.9867,0.1784,1.9952,0.3659,4.26,250.3,
2021-06-24,4,600657,,0.9865,0.1301,2.3091,0.8622,3.53,53.9,
2021-06-24,5,601186,,0.9864,0.2163,1.8616,0.3169,7.52,865.2,
2021-06-24,6,601668,,0.9834,0.2384,1.4758,0.3205,4.87,1977.8,
2021-06-24,7,601390,,0.9831,0.2021,1.6493,0.3077,5.29,1077.3,
2021-06-24,8,601669,,0.9823,0.1372,1.6259,0.5188,3.82,425.6,
2021-06-24,9,000069,,0.9816,0.2075,1.2585,0.4964,7.58,534.9,
2021-06-24,10,601577,,0.9797,0.1638,1.2516,0.7492,9.1,90.6,
2021-06-24,11,601988,,0.9793,0.2018,2.0013,0.2423,3.07,6475.5,
2021-06-24,12,000656,,0.978,0.2292,1.1368,0.5978,5.67,299.4,
2021-06-24,13,600269,,0.9777,0.1235,2.0205,0.3673,3.4,79.4,
2021-06-24,14,002807,,0.9776,0.1249,1.3901,0.9483,3.96,85.9,
2021-06-24,15,000402,,0.9775,0.1188,1.7485,0.468,7.07,211.2,
2021-06-24,16,600683,,0.9771,0.1436,1.2331,3.7669,3.76,27.9,新
2021-06-24,17,600028,,0.9764,0.1331,1.4275,0.4131,4.42,4228.0,
2021-06-24,18,600325,,0.9748,0.1724,1.1126,2.2504,6.5,137.4,
2021-06-24,19,600603,,0.9742,0.1721,1.3544,0.3128,4.07,50.8,新
2021-06-24,20,601992,,0.9741,0.104,1.6311,0.7091,2.69,224.3,
2021-07-22,1,600606,,0.9937,0.2463,1.5786,1.108,4.79,612.0,
2021-07-22,2,600376,,0.9907,0.2237,2.0166,0.4286,5.06,130.4,
2021-07-22,3,601077,,0.9886,0.1933,2.1623,0.3965,3.93,230.9,
2021-07-22,4,600657,,0.987,0.136,2.4137,0.9012,3.38,51.5,
2021-07-22,5,000656,,0.9864,0.2728,1.3532,0.7116,4.77,250.6,
2021-07-22,6,601186,,0.9862,0.2229,1.9185,0.3266,7.3,839.6,
2021-07-22,7,601668,,0.9845,0.2506,1.5513,0.3369,4.63,1881.5,
2021-07-22,8,000402,,0.9841,0.1373,2.0211,0.5409,6.12,182.8,
2021-07-22,9,601577,,0.983,0.1778,1.3585,0.8131,8.38,83.4,
2021-07-22,10,000069,,0.9822,0.2157,1.3078,0.5158,7.29,514.7,
2021-07-22,11,601390,,0.982,0.203,1.6569,0.3092,5.27,1072.4,
2021-07-22,12,600028,,0.9795,0.1443,1.5472,0.4478,4.08,3900.8,
2021-07-22,13,600683,,0.9791,0.1506,1.2932,3.9504,3.59,26.6,
2021-07-22,14,601988,,0.9782,0.2035,2.0184,0.2444,3.05,6420.6,
2021-07-22,15,600325,,0.9778,0.1805,1.1652,2.3567,6.2,131.2,
2021-07-22,16,002124,,0.9764,0.269,1.1235,0.6114,5.98,92.0,新
2021-07-22,17,601669,,0.9761,0.1289,1.5279,0.4875,4.06,452.9,
2021-07-22,18,600269,,0.9758,0.1257,2.0562,0.3738,3.34,78.1,
2021-07-22,19,002807,,0.9757,0.1267,1.4099,0.9618,3.91,84.7,
2021-07-22,20,600603,,0.9752,0.1786,1.4062,0.3247,3.92,49.0,
2021-08-19,1,600606,,0.9951,0.2659,1.7039,1.196,4.44,567.0,
2021-08-19,2,600376,,0.9916,0.2289,2.0636,0.4386,4.94,127.5,
2021-08-19,3,601077,,0.9893,0.1988,2.223,0.4076,3.82,224.6,
2021-08-19,4,600657,,0.9867,0.1373,2.4358,0.9095,3.35,68.9,
2021-08-19,5,600269,,0.9865,0.1639,2.0649,0.4202,3.29,76.9,
2021-08-19,6,601186,,0.9858,0.2231,1.9201,0.3269,7.29,838.9,
2021-08-19,7,000402,,0.9855,0.144,2.119,0.5672,5.83,174.3,
2021-08-19,8,000656,,0.9842,0.2623,1.3012,0.6842,4.96,260.6,
2021-08-19,9,000069,,0.9842,0.2225,1.3493,0.5322,7.07,498.9,
2021-08-19,10,601668,,0.9827,0.2465,1.526,0.3314,4.71,1912.7,
2021-08-19,11,600028,,0.9819,0.1493,1.6009,0.4633,3.95,3769.9,
2021-08-19,12,600683,,0.9815,0.156,1.3392,4.0911,3.46,25.6,
2021-08-19,13,600325,,0.9811,0.1912,1.234,2.4959,5.86,123.8,
2021-08-19,14,601390,,0.9801,0.2007,1.6383,0.3057,5.33,1084.5,
