年,筛选器,选中,覆盖牛股,召回率,lift,随机95分位,代码,名称,行业
当前,"RPS250(全市场分位,高)",,,,,,301373,凌玮科技,化工-化学原料
当前,"RPS250(全市场分位,高)",,,,,,688387,信科移动-U,通信-通信设备
当前,"RPS250(全市场分位,高)",,,,,,001389,广合科技,电子-元器件
当前,"RPS250(全市场分位,高)",,,,,,301529,福赛科技,汽车-汽车零部件
当前,"RPS250(全市场分位,高)",,,,,,688652,京仪装备,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688416,恒烁股份,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,688448,磁谷科技,机械设备-专用设备
当前,"RPS250(全市场分位,高)",,,,,,688205,德科立,通信-通信设备
当前,"RPS250(全市场分位,高)",,,,,,603124,江南新材,有色-金属新材料
当前,"RPS250(全市场分位,高)",,,,,,688479,友车科技,计算机-软件服务
当前,"RPS250(全市场分位,高)",,,,,,301358,湖南裕能,电力设备-电池
当前,"RPS250(全市场分位,高)",,,,,,688143,长盈通,通信-通信设备
当前,"RPS250(全市场分位,高)",,,,,,688433,华曙高科,机械设备-专用设备
当前,"RPS250(全市场分位,高)",,,,,,688480,赛恩斯,环保-环境治理
当前,"RPS250(全市场分位,高)",,,,,,688031,星环科技-U,计算机-软件服务
当前,"RPS250(全市场分位,高)",,,,,,688041,海光信息,电子-半导体
当前,"RPS250(全市场分位,高)",,,,,,301365,矩阵股份,建筑-工程咨询服务
当前,"RPS250(全市场分位,高)",,,,,,688523,航天环宇,国防军工-航天装备
当前,"RPS250(全市场分位,高)",,,,,,301321,翰博高新,电子-光学光电
当前,"RPS60(全市场分位,高)",,,,,,688146,中船特气,电子-电子化学品
当前,"RPS60(全市场分位,高)",,,,,,603137,恒尚节能,建筑-装修装饰
当前,"RPS60(全市场分位,高)",,,,,,603065,宿迁联盛,化工-塑料
当前,"RPS60(全市场分位,高)",,,,,,688120,华海清科,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,688361,中科飞测,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,301234,五洲医疗,医药医疗-医疗器械
当前,"RPS60(全市场分位,高)",,,,,,301165,锐捷网络,通信-通信设备
当前,"RPS60(全市场分位,高)",,,,,,301526,国际复材,建材-玻璃玻纤
当前,"RPS60(全市场分位,高)",,,,,,688432,有研硅,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,688507,索辰科技,计算机-软件服务
当前,"RPS60(全市场分位,高)",,,,,,688549,中巨芯-U,电子-电子化学品
当前,"RPS60(全市场分位,高)",,,,,,301377,鼎泰高科,机械设备-通用设备
当前,"RPS60(全市场分位,高)",,,,,,301520,万邦医药,医药医疗-医疗服务
当前,"RPS60(全市场分位,高)",,,,,,688347,华虹宏力,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,001258,立新能源,公用事业-电力
当前,"RPS60(全市场分位,高)",,,,,,001229,魅视科技,计算机-IT设备
当前,"RPS60(全市场分位,高)",,,,,,301319,唯特偶,电子-电子化学品
当前,"RPS60(全市场分位,高)",,,,,,001331,胜通能源,公用事业-燃气
当前,"RPS60(全市场分位,高)",,,,,,688627,精智达,机械设备-专用设备
当前,"RPS60(全市场分位,高)",,,,,,301273,瑞晨环保,机械设备-通用设备
当前,"RPS60(全市场分位,高)",,,,,,688409,富创精密,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,301536,星宸科技,电子-半导体
当前,"RPS60(全市场分位,高)",,,,,,688758,赛分科技,化工-化学原料
当前,"RPS60(全市场分位,高)",,,,,,688143,长盈通,通信-通信设备
当前,"RPS60(全市场分位,高)",,,,,,001259,利仁科技,家电-小家电
当前,"RPS60(全市场分位,高)",,,,,,688322,奥比中光-W,电子-光学光电
当前,"RPS60(全市场分位,高)",,,,,,688141,杰华特,电子-半导体
