时点,观察日,档,代码,名称,行业,上市日,距低点涨幅,120日收益,MA20持续度,RPS60,目标年,翻倍
2025-01,2024-12-31,观察档,688631,莱斯信息,计算机-软件服务,2023-06-28,2.914324569356301,0.5867328188166114,0.4083333333333333,66.52200867947923,2025.0,False
2025-01,2024-12-31,观察档,301295,美硕科技,电力设备-电网设备,2023-06-28,0.5986024844720497,0.1111710739341607,0.4666666666666667,34.28394296342219,2025.0,False
2025-01,2024-12-31,观察档,688629,华丰科技,国防军工-军工电子,2023-06-27,1.0957446808510638,0.3041277258566979,0.5416666666666666,73.52758834469931,2025.0,True
2025-01,2024-12-31,观察档,688620,安凯微,电子-半导体,2023-06-27,0.5461538461538462,0.34538152610441775,0.44166666666666665,66.89398636081835,2025.0,False
2025-01,2024-12-31,观察档,688543,国科军工,国防军工-地面兵装,2023-06-21,0.7062689585439836,0.27166541070082895,0.4083333333333333,45.44327340359578,2025.0,False
2025-01,2024-12-31,观察档,301315,威士顿,计算机-软件服务,2023-06-21,1.3735875706214689,1.2801899592944368,0.6583333333333333,84.97623475924779,2025.0,False
2025-01,2024-12-31,观察档,301355,南王科技,轻工制造-包装印刷,2023-06-12,0.4582869855394882,0.3814541622760801,0.7166666666666667,78.11531308121513,2025.0,False
2025-01,2024-12-31,观察档,688472,阿特斯,电力设备-光伏设备,2023-06-09,0.4052511415525115,0.28229166666666683,0.6083333333333333,6.1169663153544125,2025.0,False
2025-01,2024-12-31,观察档,301383,天键股份,电子-消费电子,2023-06-09,1.4476279943635508,1.1453272951832032,0.65,94.52366191361851,2025.0,False
2025-01,2024-12-31,观察档,301323,新莱福,化工-橡胶,2023-06-06,0.7934035730645901,0.29421487603305785,0.525,75.09816077702006,2025.0,False
2025-01,2024-12-31,观察档,688593,新相微,电子-半导体,2023-06-01,1.289473684210526,1.0010952902519166,0.45,91.60983674312875,2025.0,False
2025-01,2024-12-31,观察档,301353,普莱得,机械设备-通用设备,2023-05-30,0.5090390104662226,0.1352899069434501,0.575,52.57284562926225,2025.0,False
2025-01,2024-12-31,观察档,301252,同星科技,机械设备-通用设备,2023-05-25,1.064748201438849,0.24579489962018464,0.48333333333333334,78.79727216367019,2025.0,False
2025-01,2024-12-31,观察档,301399,英特科技,机械设备-通用设备,2023-05-23,0.9914621131270012,0.43981481481481466,0.5833333333333334,85.01756561272991,2025.0,False
2025-01,2024-12-31,观察档,301305,朗坤科技,环保-环境治理,2023-05-23,0.42282430213464695,0.17332430602572768,0.575,37.15643728042984,2025.0,False
2025-01,2024-12-31,观察档,688458,美芯晟,电子-半导体,2023-05-22,0.6061794997547818,0.326447954637505,0.39166666666666666,51.167596610870014,2025.0,False
2025-01,2024-12-31,观察档,688361,中科飞测,电子-半导体,2023-05-19,0.8564461407972859,0.7398648648648647,0.5333333333333333,89.93593717710272,2025.0,False
2025-01,2024-12-31,观察档,301428,世纪恒通,通信-电信服务,2023-05-19,0.8707647628267181,0.5003881987577639,0.5416666666666666,61.417648274436864,2025.0,False
2025-01,2024-12-31,观察档,301382,蜂助手,传媒-广告营销,2023-05-17,0.6547522339561331,0.5327313769751694,0.5833333333333334,2.603843769373838,2025.0,False
2025-01,2024-12-31,观察档,688512,慧智微-U,电子-半导体,2023-05-16,0.5780254777070064,0.30052493438320216,0.43333333333333335,56.93325067162637,2025.0,False
2025-01,2024-12-31,观察档,001380,华纬科技,汽车-汽车零部件,2023-05-16,0.5304621848739497,0.1981907894736843,0.44166666666666665,83.34366604670387,2025.0,False
2025-01,2024-12-31,观察档,301325,曼恩斯特,机械设备-专用设备,2023-05-12,0.8209005376344085,0.34968866749688665,0.4583333333333333,87.373424261211,2025.0,False
2025-01,2024-12-31,观察档,688469,芯联集成-U,电子-半导体,2023-05-10,0.5313432835820895,0.32901554404145084,0.5166666666666667,73.44492663773507,2025.0,False
2025-01,2024-12-31,观察档,688249,晶合集成,电子-半导体,2023-05-05,0.9512605042016806,0.5563002680965148,0.5666666666666667,84.81091134531928,2025.0,False
2025-01,2024-12-31,观察档,301293,三博脑科,医药医疗-医疗服务,2023-05-05,0.43785404865044963,0.20936098654708513,0.4583333333333333,54.12275263484191,2025.0,False
2025-01,2024-12-31,观察档,301360,荣旗科技,机械设备-专用设备,2023-04-25,0.42942206654991244,0.3367179823124795,0.6833333333333333,14.34180615829717,2025.0,False
2025-01,2024-12-31,观察档,301387,光大同创,电子-消费电子,2023-04-18,0.4593669803250642,0.1301755548194765,0.4666666666666667,41.26885720190122,2025.0,False
2025-01,2024-12-31,观察档,688433,华曙高科,机械设备-专用设备,2023-04-17,0.6270949720670391,0.20600414078674945,0.4,65.42674106220294,2025.0,True
2025-01,2024-12-31,观察档,001328,登康口腔,化工-日用化工,2023-04-10,0.7452667814113598,0.2955706984667803,0.6666666666666666,86.48481091134532,2025.0,False
2025-01,2024-12-31,观察档,688343,云天励飞-U,计算机-软件服务,2023-04-04,1.3652837386742966,0.8036363636363637,0.6083333333333333,95.88758007852863,2025.0,False
2025-01,2024-12-31,观察档,301141,中科磁业,有色-金属新材料,2023-04-03,0.539445628997868,0.10838194657660427,0.3416666666666667,55.89997933457326,2025.0,False
2025-01,2024-12-31,观察档,301345,涛涛车业,汽车-摩托车及其他,2023-03-21,0.5357749211739027,0.31751976695796924,0.525,69.80781153130812,2025.0,True
2025-01,2024-12-31,观察档,301378,通达海,计算机-软件服务,2023-03-20,0.7368101879927231,0.21820501914079116,0.45,6.571605703657781,2025.0,False
2025-01,2024-12-31,观察档,301439,泓淋电力,电力设备-电网设备,2023-03-17,0.42099681866383887,0.14922813036020588,0.48333333333333334,50.960942343459394,2025.0,False
2025-01,2024-12-31,观察档,603153,上海建科,建筑-工程咨询服务,2023-03-13,0.42340425531914905,0.26147077309868005,0.49166666666666664,82.95102293862368,2025.0,False
2025-01,2024-12-31,观察档,688502,茂莱光学,电子-光学光电,2023-03-09,1.8447934352009052,1.3829106423323063,0.425,98.6360818350899,2025.0,False
2025-01,2024-12-31,观察档,301157,华塑科技,电力设备-其他发电设备,2023-03-09,0.8267266040049042,0.5015115888478334,0.5916666666666667,82.33106013639183,2025.0,False
2025-01,2024-12-31,观察档,688522,纳睿雷达,国防军工-军工电子,2023-03-01,1.4668389319552113,0.11050794881737103,0.4583333333333333,38.52035544533995,2025.0,False
2025-01,2024-12-31,观察档,688486,龙迅股份,电子-半导体,2023-02-21,0.9276225377920293,0.4911410347271439,0.48333333333333334,88.48935730522835,2025.0,False
2025-01,2024-12-31,观察档,301303,真兰仪表,机械设备-通用设备,2023-02-20,0.6098901098901099,0.3653308480894688,0.6083333333333333,83.054350072329,2025.0,False
2025-01,2024-12-31,观察档,688307,中润光学,电子-光学光电,2023-02-16,0.6607495069033529,0.2614232209737828,0.5,63.215540400909276,2025.0,False
2025-01,2024-12-31,观察档,001314,亿道信息,电子-消费电子,2023-02-14,0.6462519936204145,0.4595588235294117,0.6916666666666667,87.58007852862161,2025.0,False
2025-01,2024-12-31,观察档,688515,裕太微-U,电子-半导体,2023-02-10,1.0253682487725038,0.8679245283018868,0.575,82.93035751188262,2025.0,False
