段,变量,阈值,选中,覆盖率,命中率,L2命中,召回,lift_base,lift_ctrl,对照命中,超噪音上界
全样本 2015–2025,above_ma20_share_120,>=80%,305,0.010679645645855947,0.06885245901639345,0.003278688524590164,0.014553014553014554,1.362687024982107,0.9209016393442624,0.07476635514018691,False
全样本 2015–2025,above_ma20_share_120,>=90%,49,0.001715746349662103,0.061224489795918366,0.0,0.002079002079002079,1.2117187831473546,1.010204081632653,0.06060606060606061,False
现代段 2019–2025,recovery_from_low_250,0-20%,9969,0.40958954763959077,0.034306349684020465,0.006319590731266927,0.2766990291262136,0.6755519781224709,0.9217177517846374,0.03722001623338189,False
现代段 2019–2025,recovery_from_low_250,20-40%,6259,0.25715929167180246,0.05048729829046174,0.01070458539702828,0.255663430420712,0.9941831335692137,0.9930022445337511,0.050843085771842614,False
现代段 2019–2025,recovery_from_low_250,40-60%,3364,0.13821438843009162,0.06569560047562426,0.01605231866825208,0.17880258899676377,1.293661181210533,1.048150946822061,0.0626776140161967,False
现代段 2019–2025,recovery_from_low_250,60-100%,2892,0.11882164427462098,0.07192254495159059,0.017634854771784232,0.16828478964401294,1.4162805999812,1.0257930653601628,0.07011408770475369,False
现代段 2019–2025,recovery_from_low_250,100-200%,1504,0.06179382883438103,0.0797872340425532,0.015292553191489361,0.0970873786407767,1.5711500722991119,1.183440645356936,0.06741971754611206,False
现代段 2019–2025,recovery_from_low_250,>200%,351,0.014421299149513128,0.08262108262108261,0.014245014245014245,0.023462783171521034,1.6269535031670952,1.3343304843304842,0.06191950464396285,False
现代段 2019–2025,close_to_ma_250,<0,12805,0.5261103578618678,0.041702459976571654,0.008590394377196407,0.4320388349514563,0.8211943150240918,0.9448251684615195,0.044137753066503006,False
现代段 2019–2025,close_to_ma_250,0-10%,5242,0.21537450182834134,0.05436856161770317,0.010492178557802366,0.23058252427184467,1.0706119912728782,1.009333496451636,0.05386580531493173,False
现代段 2019–2025,close_to_ma_250,10-20%,2892,0.11882164427462098,0.06224066390041494,0.017289073305670817,0.14563106796116504,1.2256274422914233,1.063197331194127,0.05854102721506037,False
现代段 2019–2025,close_to_ma_250,20-40%,2275,0.09347138337647397,0.06505494505494505,0.013626373626373627,0.11974110032362459,1.2810455563853622,1.0622328019756369,0.06124358514814264,False
现代段 2019–2025,close_to_ma_250,40-60%,674,0.027692181272854267,0.06528189910979229,0.013353115727002967,0.03559870550161812,1.285514678344041,1.1177312790178997,0.058405719098379855,False
现代段 2019–2025,close_to_ma_250,60-100%,349,0.014339126504786557,0.09169054441260745,0.02005730659025788,0.025889967637540454,1.8055470553870976,1.3753581661891117,0.06666666666666667,False
现代段 2019–2025,close_to_ma_250,>100%,102,0.004190804881055097,0.12745098039215685,0.00980392156862745,0.010517799352750809,2.5097325337902148,1.3453159041394334,0.09473684210526316,False
现代段 2019–2025,rps_60,>=60,9762,0.40108467891039074,0.056238475722188076,0.012190124974390494,0.4441747572815534,1.1074338678012423,1.0576331570409392,0.05317389621136015,False
现代段 2019–2025,rps_60,>=70,7248,0.29779366448909156,0.056429359823399555,0.012417218543046357,0.3309061488673139,1.1111927093379625,1.0503824341338355,0.053722680415854665,False
