代码,他,我,他RPS50,我RPS50,我合格
301355,无信号,无信号,62.07592891760905,63.88729154686601,True
688271,无信号,无信号,61.91437802907917,63.86812344259153,True
301296,无信号,无信号,61.38933764135702,63.408088940003836,True
001367,无信号,无信号,61.00565428109854,63.0055587502396,True
001356,无信号,无信号,60.6421647819063,62.31550699635806,True
301535,无信号,无信号,60.31906300484653,62.37301130918153,True
301105,无信号,无信号,60.03634894991923,61.93214491086832,True
001338,无信号,无信号,59.69305331179321,61.58711903392754,True
601061,无信号,无信号,59.16801292407108,61.41460609545716,True
301429,无信号,无信号,58.96607431340873,61.08874832279088,True
301359,无信号,无信号,58.54200323101777,60.62871382020318,True
001376,无信号,无信号,58.23909531502424,60.494537090281774,True
688459,无信号,无信号,57.93618739903069,60.11117500479203,True
301515,无信号,无信号,56.70436187399031,58.84608012267587,True
688552,无信号,无信号,56.48222940226171,58.654399079931,True
301339,无信号,无信号,56.3004846526656,58.52022235000959,True
301559,无信号,无信号,56.09854604200323,58.40521372436266,True
301300,无信号,无信号,55.59369951534734,55.6450067088365,True
603153,无信号,无信号,55.27059773828756,53.038144527506226,True
688420,无信号,无信号,54.60420032310178,52.25225225225225,True
688638,无信号,无信号,54.5032310177706,52.23308414797776,True
688581,无信号,无信号,54.34168012924071,52.041403105232895,True
603325,无信号,无信号,53.75605815831987,51.447191872723785,True
301503,无信号,无信号,53.63489499192246,51.389687559900324,True
603193,无信号,无信号,53.53392568659127,51.1213341000575,True
603280,无信号,无信号,53.2714054927302,51.00632547441059,True
301170,无信号,无信号,52.96849757673667,50.661299597469814,True
601065,无信号,无信号,52.32229402261712,50.02875215641173,True
603107,无信号,无信号,52.22132471728595,49.91374353076481,True
301558,无信号,无信号,51.83764135702747,49.856239217941344,True
688469,无信号,无信号,51.79725363489499,49.549549549549546,True
601089,无信号,无信号,51.53473344103393,49.1661874640598,True
688334,无信号,无信号,51.35298869143781,49.20452367260878,True
301556,无信号,无信号,50.96930533117933,48.763657274295575,True
301397,无信号,无信号,50.58562197092083,48.437799501629286,True
301386,无信号,无信号,50.08077544426494,47.862756373394674,True
688563,无信号,无信号,50.02019386106623,47.78608395629672,True
603307,无信号,无信号,49.97980613893376,47.74774774774775,True
001311,无信号,无信号,49.79806138933764,47.594402913551846,True
688349,无信号,无信号,49.75767366720517,47.46022618363044,True
301290,无信号,无信号,49.29321486268174,47.230208932336595,True
603341,无信号,无信号,48.82875605815832,46.69350201265095,True
603296,无信号,无信号,48.76817447495961,46.65516580410197,True
301311,无信号,无信号,48.56623586429725,46.48265286563159,True
001387,无信号,无信号,48.52584814216478,46.40598044853364,True
301332,无信号,无信号,48.48546042003231,46.27180371861223,True
688695,无信号,无信号,48.32390953150242,46.23346751006325,True
301551,无信号,无信号,48.30371567043619,46.09929078014184,True
301592,无信号,无信号,48.06138933764136,45.94594594594595,True
301202,无信号,无信号,47.61712439418417,45.50507954763274,True
301408,无信号,无信号,47.3546042003231,45.160053670691966,True
301508,无信号,无信号,47.27382875605816,45.313398504887864,True
