观察日,排名,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,未来60日最大涨幅,启动(>=50%)
2019-02-28,15,300397,天和防务,国防军工,1.0792,0.9762,28.8,0.4886,False
2019-02-28,16,600975,新五丰,农林牧渔,1.0726,1.312,42.8,1.3699,True
2019-02-28,17,000536,华映科技,电子,1.0536,0.9979,69.1,0.2928,False
2019-02-28,18,300226,上海钢联,传媒,1.0536,0.5834,120.8,0.096,False
2019-02-28,19,002600,领益智造,电子,1.0346,1.3387,73.1,0.6149,True
2019-02-28,20,300545,联得装备,电子,1.0113,0.5833,15.0,0.2014,False
2019-02-28,21,300684,中石科技,基础化工,0.9957,0.6798,26.9,-0.0095,False
2019-02-28,22,601099,太平洋,非银金融,0.9848,0.5707,251.6,0.2123,False
2019-02-28,23,002679,福建金森,农林牧渔,0.9655,0.571,50.9,0.2862,False
2019-02-28,24,600816,建元信托,非银金融,0.961,0.9727,352.8,0.1722,False
2019-02-28,25,600570,恒生电子,计算机,0.9532,0.5884,534.4,0.158,False
2019-02-28,26,300322,硕贝德,电子,0.9511,0.5518,54.7,0.2108,False
2019-02-28,27,002567,唐人神,农林牧渔,0.936,0.6957,62.7,1.1399,True
2019-02-28,28,300059,东方财富,传媒,0.9323,0.7394,814.7,0.1336,False
2019-02-28,29,002875,安奈儿,纺织服饰,0.9177,1.2877,9.5,0.0622,False
2019-02-28,30,000531,穗恒运Ａ,公用事业,0.9,1.2959,51.1,0.3647,False
2019-02-28,31,603098,森特股份,建筑装饰,0.8778,0.5817,11.3,0.0567,False
2019-02-28,32,000957,中通客车,汽车,0.875,0.6296,46.6,0.3621,False
2019-02-28,33,601881,中国银河,非银金融,0.8712,0.8222,134.3,0.3054,False
2019-02-28,34,000727,冠捷科技,电子,0.8699,1.1935,66.9,0.5348,True
2019-02-28,35,000876,新 希 望,农林牧渔,0.8683,0.6717,442.7,0.7533,True
2019-02-28,36,000518,四环生物,医药生物,0.8672,1.5327,48.5,0.0523,False
2019-02-28,37,002876,三利谱,电子,0.853,0.7809,26.3,0.1229,False
2019-02-28,38,300085,银之杰,计算机,0.838,0.5679,54.7,0.6117,True
2019-02-28,39,002100,天康生物,农林牧渔,0.8287,0.6039,65.5,0.833,True
2019-02-28,40,600518,康美药业,医药生物,0.8253,0.6707,467.9,0.127,False
2019-02-28,41,601555,东吴证券,非银金融,0.8246,0.5771,266.9,0.3343,False
2019-02-28,42,300582,英飞特,电子,0.8158,1.2468,19.4,0.0152,False
2019-02-28,43,603396,金辰股份,电力设备,0.8117,0.8694,13.1,0.1606,False
2019-02-28,44,600552,凯盛科技,电子,0.8072,1.1635,44.7,0.2387,False
2019-02-28,45,600505,西昌电力,公用事业,0.8072,0.9817,24.6,0.407,False
2019-02-28,46,603360,百傲化学,基础化工,0.7812,0.5968,14.3,0.7794,True
2019-02-28,47,600369,西南证券,非银金融,0.7791,0.5765,292.6,0.207,False
2019-02-28,48,002170,芭田股份,基础化工,0.7656,1.3343,26.4,0.1951,False
2019-02-28,49,601377,兴业证券,非银金融,0.75,0.7382,457.0,0.1799,False
2019-02-28,50,603416,信捷电气,电力设备,0.7355,1.0829,10.8,0.0519,False
2019-02-28,51,603611,诺力股份,机械设备,0.7181,0.9225,40.0,0.1325,False
2019-02-28,52,000050,深天马Ａ,电子,0.704,1.4515,286.0,0.2466,False
2019-02-28,53,000783,长江证券,非银金融,0.7024,0.5449,389.6,0.1713,False
2019-02-28,54,000686,东北证券,非银金融,0.6991,0.6908,203.7,0.2839,False
2019-02-28,55,601788,光大证券,非银金融,0.6969,0.7149,517.4,0.1012,False
2019-02-28,56,002095,生 意 宝,传媒,0.6925,0.8484,73.6,0.1988,False
2019-02-28,57,600109,国金证券,非银金融,0.6906,0.5736,297.7,0.2636,False
2019-02-28,58,601208,东材科技,基础化工,0.6842,1.4492,33.1,0.125,False
2019-02-28,59,002736,国信证券,非银金融,0.6791,0.8342,935.7,0.3122,False
2019-02-28,60,002079,苏州固锝,电子,0.6759,1.2036,49.6,0.1799,False
2019-02-28,61,600331,宏达股份,有色金属,0.672,0.5408,63.9,0.3354,False
2019-02-28,62,600584,长电科技,电子,0.665,0.9185,141.6,0.1817,False
2019-02-28,63,300268,佳沃食品,农林牧渔,0.664,0.5778,14.1,0.2732,False
2019-02-28,64,002500,山西证券,非银金融,0.6585,0.5595,231.1,0.2632,False
2019-02-28,65,002405,四维图新,计算机,0.6559,0.7555,242.2,0.1909,False
2019-02-28,66,601375,中原证券,非银金融,0.6545,0.5413,101.5,0.2308,False
2019-02-28,67,002643,万润股份,基础化工,0.6483,0.7893,97.7,0.1658,False
2019-02-28,68,000777,中核科技,机械设备,0.6478,0.7539,54.9,0.1726,False
2019-02-28,69,300054,鼎龙股份,基础化工,0.6423,0.7703,61.1,0.2075,False
2019-02-28,70,300547,川环科技,汽车,0.642,1.569,15.3,0.1031,False
2019-02-28,71,002080,中材科技,基础化工,0.6412,0.6528,70.4,0.3399,False
2019-02-28,72,000839,国安股份,综合,0.6348,0.7132,180.8,0.5336,True
2019-02-28,73,000055,方大集团,建筑装饰,0.6275,0.796,42.4,0.3574,False
2019-02-28,74,002429,兆驰股份,家用电器,0.625,1.1839,110.5,0.3077,False
2019-02-28,75,002568,百润股份,食品饮料,0.624,0.6227,45.3,0.4056,False
2019-02-28,76,600135,乐凯胶片,轻工制造,0.6183,1.1775,30.9,0.2518,False
2019-02-28,77,600386,北巴传媒,传媒,0.6148,1.0916,35.5,0.2741,False
2019-02-28,78,300115,长盈精密,电子,0.6102,0.8262,106.4,0.2937,False
2019-02-28,79,603882,金域医学,医药生物,0.6089,0.5673,73.1,0.3628,False
2019-02-28,80,601608,中信重工,机械设备,0.6059,0.82,170.0,0.6095,True
2019-02-28,81,600958,东方证券,非银金融,0.6034,0.7316,697.8,0.1065,False
