变量,组,n,启动率,lift,代码,名称
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,688416,恒烁股份
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,301321,翰博高新
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,001229,魅视科技
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,301308,江波龙
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,001258,立新能源
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,603211,晋拓股份
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,688231,隆达股份
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,688353,华盛锂电
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,001309,德明利
当前名单,距低点高 & 波动率高 & 换手加速高(历史 lift 1.85),,,,688120,华海清科
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,603120,肯特催化
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,301535,浙江华远
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,603124,江南新材
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,001395,亚联机械
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,688758,赛分科技
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,301633,港迪技术
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,688615,合合信息
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,301607,富特科技
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,688710,益诺思
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,301571,国科天成
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,603391,力聚热能
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,001389,广合科技
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,301536,星宸科技
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,001359,平安电工
当前名单,"距低点高 & 换手加速高(历史 lift 1.72,覆盖 11.3%)",,,,688584,上海合晶
