段,变量,阈值,选中,命中率,市值分位中位,lift_base,lift_ind,lift_indmv
全样本 2015–2025,vol_20_pct,>=50分位,14287,0.05809477147056765,47.220487195502805,1.149777254627818,1.1154660706243702,1.0880388356935153
全样本 2015–2025,vol_20_pct,>=60分位,11430,0.05774278215223097,47.4195503387398,1.1428108908423869,1.1156645659655366,1.0775626505112772
全样本 2015–2025,vol_20_pct,>=70分位,8574,0.058898996967576396,46.73906879147054,1.1656940085911394,1.143272090576585,1.07667362290797
全样本 2015–2025,vol_20_pct,>=80分位,5719,0.056303549571603426,46.84572142410993,1.114326453371741,1.0928574447407902,1.0393470156519544
全样本 2015–2025,vol_20_pct,>=90分位,2863,0.05413901501921062,45.12887723896898,1.0714872695312794,1.0603324161079541,0.9591158502179364
全样本 2015–2025,above_ma20_share_120,>=50%,12349,0.06429670418657381,49.42528735632184,1.2725222279032302,1.1196023536154622,1.085938851936952
全样本 2015–2025,above_ma20_share_120,>=55%,8329,0.0683155240725177,49.84709480122324,1.352060327087341,1.1282835209381672,1.0811023713332446
全样本 2015–2025,above_ma20_share_120,>=60%,5039,0.0716411986505259,51.780137414116176,1.4178801055165413,1.1071446823718616,1.0691650679132452
全样本 2015–2025,above_ma20_share_120,>=65%,2754,0.07879448075526507,55.52637804197606,1.559453621545125,1.0995058957276231,1.046126025115153
全样本 2015–2025,above_ma20_share_120,>=70%,1389,0.07055435565154787,59.01814300960512,1.3963699536053746,0.8623780291808485,0.9563144821810282
全样本 2015–2025,above_ma20_share_120,>=75%,622,0.0707395498392283,66.32870864461046,1.400035207109162,0.7261907642179981,0.9081428695576605
全样本 2015–2025,above_ma20_share_120,>=80%,305,0.06885245901639345,74.27961579509072,1.362687024982107,0.6262295081967213,0.9209016393442624
全样本 2015–2025,above_ma20_share_120,>=90%,49,0.061224489795918366,81.75026680896478,1.2117187831473546,0.5204081632653061,1.010204081632653
现代段 2019–2025,recovery_from_low_250,0-20%,9969,0.034306349684020465,47.921225382932164,0.6755519781224709,0.8833132647328001,0.9217177517846374
现代段 2019–2025,recovery_from_low_250,20-40%,6259,0.05048729829046174,45.56574923547401,0.9941831335692137,0.995108281873544,0.9930022445337511
现代段 2019–2025,recovery_from_low_250,40-60%,3364,0.06569560047562426,50.0396699468469,1.293661181210533,1.0879830197055742,1.048150946822061
现代段 2019–2025,recovery_from_low_250,60-100%,2892,0.07192254495159059,53.641556586933234,1.4162805999812,1.0671876932433337,1.0257930653601628
现代段 2019–2025,recovery_from_low_250,100-200%,1504,0.0797872340425532,62.46055050855516,1.5711500722991119,1.1422374683929772,1.183440645356936
现代段 2019–2025,recovery_from_low_250,>200%,351,0.08262108262108261,76.40128525526598,1.6269535031670952,1.3054131054131053,1.3343304843304842
现代段 2019–2025,close_to_ma_250,<0,12805,0.041702459976571654,47.22100656455142,0.8211943150240918,0.9347272626163093,0.9448251684615195
现代段 2019–2025,close_to_ma_250,0-10%,5242,0.05436856161770317,46.830162314236276,1.0706119912728782,1.0141373997763863,1.009333496451636
现代段 2019–2025,close_to_ma_250,10-20%,2892,0.06224066390041494,52.981651376146786,1.2256274422914233,1.0911775125982366,1.063197331194127
现代段 2019–2025,close_to_ma_250,20-40%,2275,0.06505494505494505,58.147662734818695,1.2810455563853622,1.0368757396449704,1.0622328019756369
现代段 2019–2025,close_to_ma_250,40-60%,674,0.06528189910979229,62.88167054081456,1.285514678344041,1.125645687706269,1.1177312790178997
现代段 2019–2025,close_to_ma_250,60-100%,349,0.09169054441260745,69.35342944517257,1.8055470553870976,1.2717079855487727,1.3753581661891117
现代段 2019–2025,close_to_ma_250,>100%,102,0.12745098039215685,71.45547555439619,2.5097325337902148,1.9330065359477122,1.3453159041394334
现代段 2019–2025,rps_60,>=60,9762,0.056238475722188076,52.22074099651091,1.1074338678012423,1.0908518528108675,1.0576331570409392
现代段 2019–2025,rps_60,>=70,7248,0.056429359823399555,53.54868069186617,1.1111927093379625,1.0784553998459152,1.0503824341338355
现代段 2019–2025,rps_60,>=80,4818,0.06060606060606061,55.36260375709917,1.1934392468373052,1.1303100004756939,1.0831977523034835
现代段 2019–2025,rps_60,>=85,3585,0.06248256624825663,56.42381061824868,1.2303909222623932,1.1653178910904163,1.102370965451105
现代段 2019–2025,rps_60,>=90,2349,0.06641123882503193,56.96810834425513,1.3077533509404953,1.2215635228743245,1.149019846337854
现代段 2019–2025,rps_60,>=95,1152,0.0720486111111111,57.9010599894231,1.4187630629719523,1.3142410277253338,1.1727297008547009
现代段 2019–2025,vol_20_pct,>=50分位,12174,0.05988171513060621,47.57023602199434,1.179175618579146,1.1290582494034445,1.0965322886470596
现代段 2019–2025,vol_20_pct,>=60分位,9740,0.05995893223819302,47.67107685593818,1.1806961583700484,1.1409153752955092,1.0910587581414968
现代段 2019–2025,vol_20_pct,>=70分位,7305,0.061738535249828884,46.83980694093312,1.2157396516550043,1.171428568084896,1.0975199455304228
现代段 2019–2025,vol_20_pct,>=80分位,4872,0.06055008210180624,46.56509181833692,1.1923369322620243,1.1520311571126147,1.078990658628962
现代段 2019–2025,vol_20_pct,>=90分位,2438,0.05906480721903199,44.28294288258911,1.1630892741941907,1.1359612552005083,1.0061085141762647
现代段 2019–2025,above_ma20_share_120,>=50%,10048,0.06090764331210191,48.60744410312314,1.199377937356997,1.10461561272098,1.0755568050491404
现代段 2019–2025,above_ma20_share_120,>=55%,6490,0.06348228043143297,48.8074830319258,1.2500770416024654,1.1203813856686866,1.0727891798760867
现代段 2019–2025,above_ma20_share_120,>=60%,3686,0.06429734129137277,51.245396579836346,1.2661270143128818,1.109004634990209,1.0606768551394548
现代段 2019–2025,above_ma20_share_120,>=65%,1795,0.0690807799442897,55.5482743556138,1.3603212807961707,1.14122833373035,1.0455052628551806
现代段 2019–2025,above_ma20_share_120,>=70%,752,0.06515957446808511,59.17822309878883,1.283105892377608,1.0611702127659575,1.0186608329510838
现代段 2019–2025,above_ma20_share_120,>=75%,219,0.0958904109589041,67.23276723276723,1.888249767256284,1.482613277133825,1.4178082191780823
现代段 2019–2025,above_ma20_share_120,>=80%,72,0.09722222222222222,83.66811549299757,1.914475458468177,1.53125,1.6041666666666667
