code,n_big,n_small,ca_factor_首,ca_factor_末,qfq_factor_首,qfq_factor_末,ca_累计倍数,qfq_累计倍数
000576,1,37,1.0016077717724083,0.9991632931648788,0.9839768686741418,0.9991632931648788,0.9975594452475106,1.0154337210296416
000581,0,29,1.2505625473967583,1.001873486021088,0.38326189378205233,1.0018734860210883,0.8011382462289828,2.614070175708151
000582,2,41,0.9652474292551949,1.001926563588646,0.609944632582156,1.0019265635886458,1.0379997223735198,1.6426516606057553
000584,2,46,1.004146645776336,1.0,0.5891090737555038,1.0,0.9958704778890836,1.6974785223135556
000585,1,17,1.0007479116085245,0.9992594737161598,1.0007479116085245,0.9992594737161598,0.9985126744956456,0.9985126744956456
000586,0,43,1.0013889355094556,0.995169131662902,1.0013889355094556,0.995169131662902,0.9937888230776294,0.9937888230776294
000587,0,34,1.0112964366692017,1.0,0.4898308207215163,1.0,0.9888297473820757,2.0415211899631167
000589,0,27,1.038526484598734,1.0008907400062725,0.6797389802415307,1.0008907400062723,0.9637604383223763,1.4724633559349902
000590,0,28,1.003082668948728,0.9993774269761414,0.9825276962243688,0.9993774269761414,0.9963061449596474,1.0171493697495984
000591,0,42,1.0158752811533487,1.0026779906865388,0.36757719402072875,1.0026779906865393,0.9870089461652944,2.7278025051521433
000592,2,53,0.9986626682151071,0.9986877796533703,0.4993313341075534,0.9986877796533703,1.0000251450655586,2.0000502901311177
000593,0,44,1.002426454447083,0.991324804960054,0.9899333124892914,0.991324804960054,0.9889252229549825,1.0014056426359303
000594,0,0,1.0000005541893906,1.0000005541893908,1.0000005541893906,1.0000005541893908,1.0000000000000002,1.0000000000000002
000595,1,47,1.0009972949864692,0.9997593142599696,0.5004986474932345,0.9997593142599696,0.9987632526754068,1.997526505350814
000596,0,41,1.01579942278165,1.0026300646727495,0.7937084067130742,1.0026300646727495,0.9870354739198042,1.2632221810839412
000597,1,31,1.0046200428049858,1.0024060805657484,0.41784983415939947,1.0024060805657486,0.9977962193218285,2.398962494701758
000598,4,30,0.9428095165282989,1.0028054793485932,0.3627626731247985,1.002805479348594,1.0636352961743716,2.7643568471654927
000599,0,40,1.0009786358067132,0.999814338554975,0.9762827302630707,0.9998143385549748,0.9988368410572521,1.02410327209779
000600,0,40,1.0401939243015064,0.9992106929706224,0.7528770595757937,0.9992106929706219,0.9606003934714343,1.3271897187751003
000601,1,36,0.9923431046940389,0.9991441213004416,0.7792786702869657,0.9991441213004416,1.006853493085438,1.2821397009782283
000603,0,44,1.0094262544980244,1.0131702876966497,0.8899211535201272,1.0131702876966497,1.003709070555617,1.1384944426694483
000605,2,41,1.0039598338131963,0.9985156432415065,0.6956710584620224,0.9985156432415067,0.9945772824884718,1.4353272729916462
000606,0,33,1.0019195932565534,1.000287456319293,0.9981387646027553,1.000287456319293,0.99837099009916,1.00215269839499
000607,0,40,1.0020486164383868,0.9995020314027012,0.9838383816786426,0.9995020314027011,0.9974586212745475,1.0159209581733668
000608,0,38,1.0040774541991777,0.9909025786953104,0.9847686366463677,0.9909025786953104,0.9868786262964393,1.006228815399556
000611,0,14,1.0018168707215698,0.999999774955942,1.0018168707215698,0.999999774955942,0.9981861996750773,0.9981861996750773
000612,1,45,0.5493443910729813,0.9980107280465776,0.47176466357909275,0.9980107280465775,1.8167305323665175,2.1154842765777815
000613,0,35,1.0014653383716936,1.0056297837364148,1.0014653383716936,1.0056297837364148,1.0041583519720136,1.0041583519720136
000616,0,27,0.995552757018478,0.9999880818134652,0.808108920890304,0.9999880818134652,1.0044551378756363,1.2374422011227961
000617,1,37,1.040715528345836,1.0010099608435412,0.5921771332657524,1.0010099608435408,0.9618478187162204,1.6903894200087524
000619,0,29,1.0031299316354854,1.0004923823206793,0.9313043612662274,1.0004923823206793,0.9973706802761773,1.074291524803322
000620,0,49,1.0102463067927439,0.996936367786939,0.8773919548795107,0.996936367786939,0.9868250555173418,1.1362497253850987
000622,0,34,0.997357719745268,1.0,0.997357719745268,1.0,1.0026492803960116,1.0026492803960116
000623,0,36,1.057814605375091,1.0027816624948016,0.6133279409264244,1.0027816624948012,0.9479748695086553,1.6349844766245472
000625,7,33,1.2827915927027391,1.0028317675701355,0.41697984446901765,1.0028317675701355,0.7817573589309619,2.404988588470366
000626,3,32,1.0072213146818023,0.998744984671441,0.4936719039305595,0.998744984671441,0.9915844413866092,2.0230946438708526
000627,1,39,0.959496031304388,0.9982413397331499,0.8898222425295076,0.9982413397331495,1.0403808949330302,1.1218435458473568
000628,0,48,1.0016255895770239,1.0049650755088966,0.9758968602316508,1.0049650755088966,1.0033340661087573,1.0297861551376912
000629,1,30,0.999464572125659,0.9981053883846471,0.9945891351884608,0.9981053883846471,0.9986400881242632,1.0035353826738918
000630,1,38,1.1407532720673734,0.9970435320207907,0.1662160955267023,0.9970435320207907,0.8740220663262799,5.998477637568002
000631,3,34,1.3030263123847035,0.9994839553186101,0.32847135878956246,0.9994839553186101,0.7670481753276552,3.042834416375818
000633,0,40,1.0009680330627022,1.0002436930878895,1.0009680330627022,1.0002436930878895,0.9992763605321177,0.9992763605321177
000635,2,35,1.0205450078541958,1.000640608034129,0.852083313363776,1.0006406080341288,0.9804963037721208,1.1743459733812789
000636,0,53,1.0054552177699112,0.9722568797941842,0.9246243651087714,0.9722568797941842,0.9669817835851898,1.0515155305039028
000637,0,39,1.0146726756554112,1.000504503367089,0.8643883600761489,1.000504503367089,0.9860367065870079,1.15747105071955
000638,0,51,1.000489963641496,1.0,0.500244981820748,1.0,0.9995102763053089,1.9990205526106177
000650,2,35,1.044933040394347,1.0001862361325962,0.628423712551185,1.0001862361325962,0.957177347703673,1.5915794012167088
