样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS50,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分
当日观察,2026-08-28,688037,芯源微,367.74,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=95.8,2026-08-25,4,持续,无平台信号,True,缺失,多头趋势,2.1756476683937827,0.9376152589704412,0.575,95.84052137243627,98.14069388537474,97.79582366589327,-0.1624188588998975,,,,
当日观察,2026-08-28,300929,,16.35,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.1,2026-08-14,11,持续,无平台信号,True,缺失,多头趋势,0.5797101449275364,0.31009615384615397,0.5916666666666667,99.09909909909909,98.10235767682576,86.33023975251353,-0.0630372492836675,,,,
当日观察,2026-08-28,301122,,38.35,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.8,2026-08-20,7,持续,无平台信号,True,中,多头趋势,0.8201233981964879,0.16423800850030368,0.575,98.77324132643281,98.04485336400231,89.50116009280742,-0.029113924050632844,,,,0.3602608494594197
当日观察,2026-08-28,002821,凯莱英,164.94,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.7,2026-08-18,9,持续,无平台信号,True,中,多头趋势,0.8588977797813591,0.6751980499695309,0.6,97.71899559133603,97.96818094690435,88.70843000773395,-0.15739463601532566,,,,0.5001515439224913
当日观察,2026-08-28,002653,海思科,67.18,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.1,2026-08-17,10,持续,无平台信号,True,高,多头趋势,0.5729337391711544,0.43455050181507593,0.575,98.08318957255128,97.87234042553192,75.67672080433101,-0.1516605632024245,,,,0.7810968059819697
当日观察,2026-08-28,603682,锦和商管,11.76,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.8,2026-08-28,1,新触发,无平台信号,True,缺失,多头趋势,1.1858736059479553,0.6633663366336633,0.55,98.83074563925628,97.757331799885,94.62490332559939,-0.1063829787234043,,,,
当日观察,2026-08-28,301365,矩阵股份,41.35,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=92.5,2026-08-04,19,持续,无平台信号,True,中,多头趋势,1.280750137892995,0.6480669589477881,0.7333333333333333,92.52443933294997,97.71899559133603,95.90100541376644,-0.047454503570605766,,,,0.460140872072592
当日观察,2026-08-28,688209,英集芯,29.54,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=90.1,2026-08-28,1,新触发,无平台信号,True,缺失,多头趋势,0.6063077759651985,0.38685446009389657,0.5666666666666667,90.14759440291355,97.66149127851256,87.4323279195669,0.0,,,,
当日观察,2026-08-28,300725,药石科技,45.5,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.1,2026-08-24,5,持续,无平台信号,False,中,弱势结构,0.45599999999999996,0.2254241852949097,0.5666666666666667,98.06402146827679,97.64232317423807,50.05800464037124,-0.1695564884102938,,,,0.43969169574635036
当日观察,2026-08-28,603268,松发股份,187.3,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=96.6,2026-07-29,23,持续,无平台信号,True,高,多头趋势,3.0629067245119304,0.49005568814638023,0.6583333333333333,96.56890933486679,97.50814644431665,98.82057231245166,-0.020397489539748848,,,,0.8207130606863607
当日观察,2026-08-28,601233,桐昆股份,27.45,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.3,2026-08-27,2,持续,无平台信号,True,中,多头趋势,1.116422513492675,0.21460176991150437,0.575,97.31646540157179,97.43147402721871,95.08894044856922,0.0,,,,0.6430711912021507
当日观察,2026-08-28,603118,共进股份,17.73,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.8,2026-08-13,12,持续,无平台信号,True,中,多头趋势,0.6371191135734073,0.4402924451665313,0.6416666666666667,97.77649990415948,97.39313781866973,86.91028615622584,-0.08229813664596275,,,,0.37095185596806635
当日观察,2026-08-28,300483,首华燃气,25.43,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.0,2026-08-27,2,持续,无平台信号,True,高,多头趋势,1.2664884135472367,0.22909618173030433,0.5583333333333333,97.04811194172896,97.37396971439524,95.4369682907966,-0.005863956215793498,,,,0.8091996947698779
当日观察,2026-08-28,688620,安凯微,15.66,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=91.0,2026-08-24,5,持续,无平台信号,True,缺失,多头趋势,0.559760956175299,0.3919999999999999,0.575,91.01015909526548,97.2781291930228,76.430781129157,-0.1041189931350115,,,,
当日观察,2026-08-28,688266,泽璟制药,120.15,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.6,2026-08-28,1,新触发,无平台信号,True,高,多头趋势,0.5861386138613862,0.4625684723067558,0.55,97.60398696568909,97.25896108874832,71.4230471771075,-0.1848710990502035,,,,0.8402116178044428
当日观察,2026-08-28,603565,中谷物流,13.15,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=96.2,2026-08-28,1,新触发,无平台信号,True,高,多头趋势,0.42316017316017307,0.21872103799814657,0.6083333333333333,96.16637914510255,97.23979298447384,84.31941221964424,-0.02736686390532539,,,,0.7195458722834124
当日观察,2026-08-28,000739,普洛药业,21.33,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.0,2026-08-27,2,持续,无平台信号,True,中,多头趋势,0.43733153638814004,0.2209502003434458,0.6,96.99060762890551,97.18228867165037,83.79737045630317,-0.08885091841093562,,,,0.5599731114578178
当日观察,2026-08-28,002832,比音勒芬,24.47,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=91.7,2026-07-09,37,持续,无平台信号,True,中,多头趋势,0.700486448922863,0.5303314571607254,0.8083333333333333,91.71937895342151,96.99060762890551,89.28847641144625,-0.07380772142316439,,,,0.6690339461096686
