代码,日期,他_平台信号,我_平台信号,他_周线,我_周线
300476,2024-11-29,无平台信号,无平台信号,多头趋势,多头趋势
300750,2024-11-29,无平台信号,无平台信号,多头趋势,多头趋势
600066,2024-11-29,无平台信号,无平台信号,回踩修复,回踩修复
300308,2024-12-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2024-12-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2024-12-31,无平台信号,无平台信号,多头趋势,多头趋势
600066,2024-12-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-01-27,无平台信号,无平台信号,回踩修复,回踩修复
300476,2025-01-27,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-01-27,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-01-27,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-02-28,无平台信号,无平台信号,弱势结构,弱势结构
300476,2025-02-28,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-02-28,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-02-28,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-03-31,无平台信号,无平台信号,弱势结构,弱势结构
300476,2025-03-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-03-31,无平台信号,无平台信号,回踩修复,回踩修复
600066,2025-03-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-04-30,无平台信号,无平台信号,弱势结构,弱势结构
300476,2025-04-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-04-30,无平台信号,无平台信号,回踩修复,回踩修复
600066,2025-04-30,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-05-30,无平台信号,无平台信号,弱势结构,弱势结构
300476,2025-05-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-05-30,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-05-30,无平台信号,无平台信号,回踩修复,回踩修复
300308,2025-06-30,无平台信号,无平台信号,突破启动,突破启动
300476,2025-06-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-06-30,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-06-30,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-07-31,无平台信号,无平台信号,突破启动,突破启动
300476,2025-07-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-07-31,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-07-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-08-29,无平台信号,无平台信号,多头趋势,多头趋势
300476,2025-08-29,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-08-29,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-08-29,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-09-30,无平台信号,无平台信号,多头趋势,多头趋势
300476,2025-09-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-09-30,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-09-30,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-10-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2025-10-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-10-31,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-10-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-11-28,无平台信号,无平台信号,多头趋势,多头趋势
300476,2025-11-28,无平台信号,无平台信号,多头趋势,多头趋势
300750,2025-11-28,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-11-28,无平台信号,无平台信号,多头趋势,多头趋势
300308,2025-12-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2025-12-31,平台观察,无平台信号,多头趋势,多头趋势
300750,2025-12-31,无平台信号,无平台信号,多头趋势,多头趋势
600066,2025-12-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2026-01-30,无平台信号,无平台信号,多头趋势,多头趋势
300476,2026-01-30,平台观察,平台观察,回踩修复,回踩修复
300750,2026-01-30,无平台信号,平台观察,回踩修复,回踩修复
600066,2026-01-30,无平台信号,无平台信号,回踩修复,回踩修复
300308,2026-02-27,无平台信号,无平台信号,多头趋势,多头趋势
300476,2026-02-27,平台观察,平台观察,多头趋势,多头趋势
300750,2026-02-27,无平台信号,平台观察,回踩修复,回踩修复
600066,2026-02-27,无平台信号,无平台信号,回踩修复,回踩修复
300308,2026-03-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2026-03-31,平台观察,平台观察,回踩修复,回踩修复
300750,2026-03-31,无平台信号,平台观察,多头趋势,多头趋势
600066,2026-03-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2026-04-17,平台突破（研究）,无平台信号,多头趋势,多头趋势
300308,2026-04-30,无平台信号,无平台信号,多头趋势,多头趋势
300476,2026-04-30,无平台信号,无平台信号,多头趋势,多头趋势
