criterion,window,ctrl_cagr,strat_cagr
D2,oos,0.1688475489693373,0.36206595071392256
D2,oos,0.11508774001406108,0.36206595071392256
D2,oos,0.13631778054392885,0.36206595071392256
D2,oos,0.12350359208753248,0.36206595071392256
D2,oos,0.10832133639759456,0.36206595071392256
D2,oos,0.137924073473084,0.36206595071392256
D2,oos,0.09053228711976624,0.36206595071392256
D2,oos,0.24097829670803916,0.36206595071392256
D2,oos,0.10476914858828246,0.36206595071392256
D2,oos,0.12094367642184056,0.36206595071392256
D2,oos,0.0748103734821215,0.36206595071392256
D2,oos,0.1018504660586721,0.36206595071392256
D2,oos,0.08219488399139596,0.36206595071392256
D2,oos,0.14078780576156635,0.36206595071392256
D2,oos,0.07394149683387585,0.36206595071392256
D2,oos,0.1568557088314153,0.36206595071392256
D2,oos,0.17736552992696875,0.36206595071392256
D2,oos,0.1283166950830117,0.36206595071392256
D2,oos,0.13706072825913207,0.36206595071392256
D2,oos,0.15682047150879108,0.36206595071392256
D2,oos,0.11844561690287292,0.36206595071392256
D3,full,0.20802702652683824,0.2563177616624246
D3,full,0.18481836479721148,0.2563177616624246
D3,full,0.13783267255967768,0.2563177616624246
D3,full,0.15242197843901129,0.2563177616624246
D3,full,0.1925856337655254,0.2563177616624246
D3,full,0.19638580620822843,0.2563177616624246
D3,full,0.1829159031700578,0.2563177616624246
D3,full,0.20993530408358985,0.2563177616624246
D3,full,0.14702387631041836,0.2563177616624246
D3,full,0.160024118122843,0.2563177616624246
D3,full,0.20764663009797157,0.2563177616624246
D3,full,0.15703354626662036,0.2563177616624246
D3,full,0.2595572373508499,0.2563177616624246
D3,full,0.1424353299473191,0.2563177616624246
D3,full,0.16666589203006765,0.2563177616624246
D3,full,0.1339571314474719,0.2563177616624246
D3,full,0.17408245710630266,0.2563177616624246
D3,full,0.1652114853843787,0.2563177616624246
D3,full,0.11918611273340152,0.2563177616624246
D3,full,0.2041699591603221,0.2563177616624246
D3,full,0.16924338636297986,0.2563177616624246
D3,full,0.15111302199505827,0.2563177616624246
D3,full,0.14479023045302597,0.2563177616624246
D3,full,0.16746709252554037,0.2563177616624246
D3,full,0.17669958182343093,0.2563177616624246
D3,full,0.1804807497564076,0.2563177616624246
D3,full,0.15866088809745982,0.2563177616624246
D3,full,0.1395413452372587,0.2563177616624246
D3,full,0.1384097007898466,0.2563177616624246
D3,full,0.1621536190793027,0.2563177616624246
D3,full,0.16128320795132112,0.2563177616624246
D3,full,0.1848764604535149,0.2563177616624246
D3,full,0.12698005971817605,0.2563177616624246
D3,full,0.20264289397598478,0.2563177616624246
D3,full,0.1673012255147417,0.2563177616624246
D3,full,0.10508672498816707,0.2563177616624246
D3,full,0.11673902557041083,0.2563177616624246
D3,full,0.1335676220130193,0.2563177616624246
D3,full,0.14163616422150738,0.2563177616624246
D3,full,0.17452857002852262,0.2563177616624246
D3,full,0.12357387240911932,0.2563177616624246
D3,full,0.1693133558480917,0.2563177616624246
D3,full,0.10950371299288775,0.2563177616624246
D3,full,0.12241487754614311,0.2563177616624246
D3,full,0.15517389637287526,0.2563177616624246
D3,full,0.1533761562387166,0.2563177616624246
D3,full,0.18366454472414762,0.2563177616624246
D3,full,0.16453666996370364,0.2563177616624246
D3,full,0.16519626202613624,0.2563177616624246
D3,full,0.1556493053884156,0.2563177616624246
D3,full,0.21309013444915936,0.2563177616624246
D3,full,0.18690799805619318,0.2563177616624246
D3,full,0.1549498687445119,0.2563177616624246
D3,full,0.18513045781416593,0.2563177616624246
D3,full,0.14726695342501017,0.2563177616624246
D3,full,0.17890377720296646,0.2563177616624246
D3,full,0.1298163672953523,0.2563177616624246
D3,full,0.199086134198996,0.2563177616624246
D3,full,0.14202443677288468,0.2563177616624246
D3,full,0.129038273299382,0.2563177616624246
D3,full,0.15191118950221494,0.2563177616624246
D3,full,0.16662912236236171,0.2563177616624246
D3,full,0.17280887605930384,0.2563177616624246
D3,full,0.15432548183576844,0.2563177616624246
D3,full,0.16109140490153928,0.2563177616624246
D3,full,0.19054290677927654,0.2563177616624246
D3,full,0.1291683450093497,0.2563177616624246
D3,full,0.16464271697624655,0.2563177616624246
D3,full,0.17538226160832227,0.2563177616624246
D3,full,0.14456678484782493,0.2563177616624246
D3,full,0.13036850753560425,0.2563177616624246
D3,full,0.15398585669303144,0.2563177616624246
D3,full,0.18629245496894375,0.2563177616624246
D3,full,0.14052119528912277,0.2563177616624246
D3,full,0.12344593198123355,0.2563177616624246
D3,full,0.19489371157658875,0.2563177616624246
D3,full,0.17507450997703744,0.2563177616624246
D3,full,0.13746755641392205,0.2563177616624246
D3,full,0.13095292324095675,0.2563177616624246
D3,full,0.15205970514267664,0.2563177616624246
D3,full,0.16135960652297565,0.2563177616624246
D3,full,0.2024993269085389,0.2563177616624246
D3,full,0.20888934401949633,0.2563177616624246
D3,full,0.13619016467980405,0.2563177616624246
D3,full,0.15605000744071007,0.2563177616624246
D3,full,0.16395400095989854,0.2563177616624246
D3,full,0.1431635690803128,0.2563177616624246
D3,full,0.16926763155059565,0.2563177616624246
D3,full,0.1792596131378985,0.2563177616624246
D3,full,0.1505094314752471,0.2563177616624246
D3,full,0.1788123704295166,0.2563177616624246
D3,full,0.15970210472727375,0.2563177616624246
D3,full,0.21537970368287507,0.2563177616624246
D3,full,0.15572539851668532,0.2563177616624246
D3,full,0.17910892329862182,0.2563177616624246
D3,full,0.19998863116190124,0.2563177616624246
D3,full,0.19124462379847906,0.2563177616624246
D3,full,0.2040920212885724,0.2563177616624246
D3,full,0.16548989211787402,0.2563177616624246
D3,full,0.17473142631720617,0.2563177616624246
D3,oos,0.19918688938421103,0.36206595071392256
D3,oos,0.10752409629477744,0.36206595071392256
D3,oos,0.0732072029761377,0.36206595071392256
D3,oos,0.1705956929045267,0.36206595071392256
D3,oos,0.16672367662589305,0.36206595071392256
D3,oos,0.06029205727060827,0.36206595071392256
D3,oos,0.17477121609813495,0.36206595071392256
D3,oos,0.1459110963644752,0.36206595071392256
D3,oos,0.06242007085989032,0.36206595071392256
D3,oos,0.07577966661712066,0.36206595071392256
D3,oos,0.16851260248586497,0.36206595071392256
D3,oos,0.1200260253530776,0.36206595071392256
D3,oos,0.18248283567238865,0.36206595071392256
D3,oos,0.12590268275084004,0.36206595071392256
D3,oos,0.07293544797299356,0.36206595071392256
D3,oos,0.04994003163947913,0.36206595071392256
D3,oos,0.16429589189388083,0.36206595071392256
D3,oos,0.1608105729881062,0.36206595071392256
D3,oos,0.06086874064833836,0.36206595071392256
D3,oos,0.25312353750156236,0.36206595071392256
D3,oos,0.10748633127856655,0.36206595071392256
D3,oos,0.14601821269702553,0.36206595071392256
D3,oos,0.1818747033024688,0.36206595071392256
D3,oos,0.09650318457811013,0.36206595071392256
D3,oos,0.24200927850085052,0.36206595071392256
D3,oos,0.13818013636274218,0.36206595071392256
D3,oos,0.24109444685444026,0.36206595071392256
D3,oos,0.1224183356302655,0.36206595071392256
D3,oos,0.099588937767076,0.36206595071392256
D3,oos,0.1856669429408564,0.36206595071392256
D3,oos,0.13536686404716303,0.36206595071392256
D3,oos,0.16489854433586837,0.36206595071392256
D3,oos,0.10859491416150258,0.36206595071392256
D3,oos,0.1568322112513496,0.36206595071392256
D3,oos,0.1268607262663093,0.36206595071392256
D3,oos,0.07119765241869103,0.36206595071392256
D3,oos,0.051206509332684336,0.36206595071392256
D3,oos,0.12889071564203491,0.36206595071392256
D3,oos,0.09839259371192721,0.36206595071392256
D3,oos,0.07060939077025497,0.36206595071392256
D3,oos,0.06934629278631155,0.36206595071392256
D3,oos,0.11034471972838111,0.36206595071392256
D3,oos,0.10090793734718617,0.36206595071392256
D3,oos,0.14725155678134838,0.36206595071392256
D3,oos,0.11300554405567143,0.36206595071392256
D3,oos,0.07641236797403073,0.36206595071392256
D3,oos,0.08599610702236515,0.36206595071392256
D3,oos,0.05833899411911836,0.36206595071392256
D3,oos,0.13918942296167014,0.36206595071392256
D3,oos,0.12116695618777129,0.36206595071392256
D3,oos,0.18722047691365074,0.36206595071392256
D3,oos,0.150765252257252,0.36206595071392256
D3,oos,0.15916883569622664,0.36206595071392256
D3,oos,0.1302348044389392,0.36206595071392256
D3,oos,0.06124007410277721,0.36206595071392256
D3,oos,0.126433957140071,0.36206595071392256
D3,oos,0.11197230589386198,0.36206595071392256
D3,oos,0.16286093814680846,0.36206595071392256
D3,oos,0.1510445207456601,0.36206595071392256
D3,oos,0.1419523724586902,0.36206595071392256
D3,oos,0.11660470986781668,0.36206595071392256
D3,oos,0.13296778886072502,0.36206595071392256
D3,oos,0.1625887434393236,0.36206595071392256
D3,oos,0.1332599815043043,0.36206595071392256
D3,oos,0.07955667397753419,0.36206595071392256
D3,oos,0.09086492675089186,0.36206595071392256
D3,oos,0.09430863057439054,0.36206595071392256
D3,oos,0.22039221096774497,0.36206595071392256
D3,oos,0.18430248535800353,0.36206595071392256
D3,oos,0.06006077580426861,0.36206595071392256
D3,oos,0.08275375527389506,0.36206595071392256
D3,oos,0.09737526793802997,0.36206595071392256
D3,oos,0.09034304130019932,0.36206595071392256
D3,oos,0.1619441595633564,0.36206595071392256
D3,oos,0.038447566198587246,0.36206595071392256
D3,oos,0.10309358104329847,0.36206595071392256
D3,oos,0.20630007127070416,0.36206595071392256
